                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  2 Data Points per Second

File Name:        R&D-033019-jackT-groups-2-1-3 13
Date & Time:     4/1/2019 12:00:21 PM

Sample No.,Barcode,Time ( .5s),Temperature,
Counts
 13 ,N1057   , 0 ,34.00,2
 13 ,N1057   , 0.5 ,34.67,3
 13 ,N1057   , 1 ,35.44,2
 13 ,N1057   , 1.5 ,35.30,2
 13 ,N1057   , 2 ,35.53,1
 13 ,N1057   , 2.5 ,35.69,1
 13 ,N1057   , 3 ,35.79,1
 13 ,N1057   , 3.5 ,35.53,2
 13 ,N1057   , 4 ,36.02,1
 13 ,N1057   , 4.5 ,36.68,1
 13 ,N1057   , 5 ,38.12,2
 13 ,N1057   , 5.5 ,39.08,1
 13 ,N1057   , 6 ,39.72,2
 13 ,N1057   , 6.5 ,41.15,2
 13 ,N1057   , 7 ,41.76,1
 13 ,N1057   , 7.5 ,44.51,1
 13 ,N1057   , 8 ,44.01,2
 13 ,N1057   , 8.5 ,43.67,1
 13 ,N1057   , 9 ,43.78,2
 13 ,N1057   , 9.5 ,43.85,2
 13 ,N1057   , 10 ,44.24,2
 13 ,N1057   , 10.5 ,44.49,1
 13 ,N1057   , 11 ,44.66,1
 13 ,N1057   , 11.5 ,44.44,1
 13 ,N1057   , 12 ,44.96,2
 13 ,N1057   , 12.5 ,45.64,2
 13 ,N1057   , 13 ,45.76,1
 13 ,N1057   , 13.5 ,46.51,2
 13 ,N1057   , 14 ,47.00,1
 13 ,N1057   , 14.5 ,47.34,1
 13 ,N1057   , 15 ,45.89,2
 13 ,N1057   , 15.5 ,46.93,2
 13 ,N1057   , 16 ,47.28,1
 13 ,N1057   , 16.5 ,47.52,2
 13 ,N1057   , 17 ,48.35,2
 13 ,N1057   , 17.5 ,48.57,2
 13 ,N1057   , 18 ,49.04,1
 13 ,N1057   , 18.5 ,49.36,2
 13 ,N1057   , 19 ,50.24,1
 13 ,N1057   , 19.5 ,51.16,2
 13 ,N1057   , 20 ,51.11,1
 13 ,N1057   , 20.5 ,49.74,2
 13 ,N1057   , 21 ,50.49,1
 13 ,N1057   , 21.5 ,50.99,2
 13 ,N1057   , 22 ,52.00,2
