                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  2 Data Points per Second

File Name:        R&D-033019-jackT-groups-2-1-3 36
Date & Time:     4/1/2019 12:00:21 PM

Sample No.,Barcode,Time ( .5s),Temperature,
Counts
 36 ,N1121   , 0 ,37.00,3
 36 ,N1121   , 0.5 ,36.67,2
 36 ,N1121   , 1 ,36.78,2
 36 ,N1121   , 1.5 ,36.19,2
 36 ,N1121   , 2 ,36.12,2
 36 ,N1121   , 2.5 ,36.08,2
 36 ,N1121   , 3 ,36.05,2
 36 ,N1121   , 3.5 ,35.70,2
 36 ,N1121   , 4 ,36.14,1
 36 ,N1121   , 4.5 ,36.76,1
 36 ,N1121   , 5 ,38.17,2
 36 ,N1121   , 5.5 ,39.11,2
 36 ,N1121   , 6 ,39.74,1
 36 ,N1121   , 6.5 ,41.16,2
 36 ,N1121   , 7 ,41.77,2
 36 ,N1121   , 7.5 ,44.52,2
 36 ,N1121   , 8 ,44.01,1
 36 ,N1121   , 8.5 ,43.67,2
 36 ,N1121   , 9 ,43.78,1
 36 ,N1121   , 9.5 ,43.86,2
 36 ,N1121   , 10 ,44.24,2
 36 ,N1121   , 10.5 ,44.49,2
 36 ,N1121   , 11 ,44.66,2
 36 ,N1121   , 11.5 ,44.44,2
 36 ,N1121   , 12 ,44.96,2
 36 ,N1121   , 12.5 ,45.64,2
 36 ,N1121   , 13 ,45.76,2
 36 ,N1121   , 13.5 ,46.51,2
 36 ,N1121   , 14 ,47.00,2
 36 ,N1121   , 14.5 ,47.34,2
 36 ,N1121   , 15 ,45.89,2
 36 ,N1121   , 15.5 ,46.93,2
 36 ,N1121   , 16 ,47.28,2
 36 ,N1121   , 16.5 ,47.52,1
 36 ,N1121   , 17 ,48.35,2
 36 ,N1121   , 17.5 ,48.57,1
 36 ,N1121   , 18 ,49.04,2
 36 ,N1121   , 18.5 ,49.36,2
 36 ,N1121   , 19 ,50.24,2
 36 ,N1121   , 19.5 ,51.16,2
 36 ,N1121   , 20 ,51.11,2
 36 ,N1121   , 20.5 ,49.74,2
 36 ,N1121   , 21 ,50.49,2
 36 ,N1121   , 21.5 ,50.99,1
 36 ,N1121   , 22 ,52.00,2
 36 ,N1121   , 22.5 ,52.66,2
 36 ,N1121   , 23 ,53.11,1
 36 ,N1121   , 23.5 ,53.41,2
 36 ,N1121   , 24 ,53.94,3
 36 ,N1121   , 24.5 ,54.29,1
 36 ,N1121   , 25 ,54.53,2
 36 ,N1121   , 25.5 ,55.35,2
 36 ,N1121   , 26 ,55.90,1
 36 ,N1121   , 26.5 ,56.27,3
 36 ,N1121   , 27 ,56.18,1
 36 ,N1121   , 27.5 ,56.79,2
 36 ,N1121   , 28 ,56.52,2
 36 ,N1121   , 28.5 ,57.02,1
 36 ,N1121   , 29 ,57.68,2
 36 ,N1121   , 29.5 ,58.45,2
 36 ,N1121   , 30 ,58.63,2
 36 ,N1121   , 30.5 ,58.42,2
 36 ,N1121   , 31 ,59.28,1
 36 ,N1121   , 31.5 ,59.85,2
 36 ,N1121   , 32 ,60.24,2
 36 ,N1121   , 32.5 ,60.82,2
 36 ,N1121   , 33 ,60.88,2
 36 ,N1121   , 33.5 ,60.92,2
 36 ,N1121   , 34 ,61.61,2
 36 ,N1121   , 34.5 ,61.41,2
 36 ,N1121   , 35 ,62.27,2
 36 ,N1121   , 35.5 ,62.18,2
 36 ,N1121   , 36 ,62.12,1
 36 ,N1121   , 36.5 ,62.41,3
 36 ,N1121   , 37 ,63.28,2
 36 ,N1121   , 37.5 ,64.85,1
 36 ,N1121   , 38 ,64.90,2
 36 ,N1121   , 38.5 ,64.60,2
 36 ,N1121   , 39 ,65.07,2
 36 ,N1121   , 39.5 ,65.38,2
 36 ,N1121   , 40 ,65.25,1
 36 ,N1121   , 40.5 ,65.83,2
 36 ,N1121   , 41 ,66.22,2
 36 ,N1121   , 41.5 ,67.15,2
 36 ,N1121   , 42 ,67.77,2
 36 ,N1121   , 42.5 ,67.84,2
 36 ,N1121   , 43 ,67.90,2
 36 ,N1121   , 43.5 ,68.26,2
 36 ,N1121   , 44 ,68.18,2
 36 ,N1121   , 44.5 ,68.45,2
 36 ,N1121   , 45 ,69.30,1
 36 ,N1121   , 45.5 ,69.53,2
 36 ,N1121   , 46 ,70.02,2
 36 ,N1121   , 46.5 ,70.01,2
 36 ,N1121   , 47 ,70.68,2
 36 ,N1121   , 47.5 ,71.12,2
 36 ,N1121   , 48 ,71.75,1
 36 ,N1121   , 48.5 ,71.50,3
 36 ,N1121   , 49 ,72.33,3
 36 ,N1121   , 49.5 ,72.89,2
 36 ,N1121   , 50 ,72.59,2
 36 ,N1121   , 50.5 ,73.73,2
 36 ,N1121   , 51 ,74.15,2
 36 ,N1121   , 51.5 ,74.77,2
 36 ,N1121   , 52 ,74.51,2
 36 ,N1121   , 52.5 ,75.34,2
 36 ,N1121   , 53 ,75.23,2
 36 ,N1121   , 53.5 ,75.49,1
 36 ,N1121   , 54 ,75.66,2
 36 ,N1121   , 54.5 ,75.77,2
 36 ,N1121   , 55 ,76.51,2
 36 ,N1121   , 55.5 ,77.01,2
 36 ,N1121   , 56 ,77.34,1
 36 ,N1121   , 56.5 ,78.23,2
 36 ,N1121   , 57 ,78.48,2
 36 ,N1121   , 57.5 ,78.99,2
 36 ,N1121   , 58 ,78.99,1
 36 ,N1121   , 58.5 ,79.33,3
 36 ,N1121   , 59 ,79.55,2
 36 ,N1121   , 59.5 ,80.03,2
 36 ,N1121   , 60 ,80.69,2
 36 ,N1121   , 60.5 ,81.13,2
 36 ,N1121   , 61 ,81.75,2
 36 ,N1121   , 61.5 ,81.83,2
 36 ,N1121   , 62 ,82.22,2
 36 ,N1121   , 62.5 ,82.48,2
 36 ,N1121   , 63 ,82.65,2
 36 ,N1121   , 63.5 ,82.77,2
 36 ,N1121   , 64 ,83.18,2
 36 ,N1121   , 64.5 ,84.12,1
 36 ,N1121   , 65 ,84.41,2
 36 ,N1121   , 65.5 ,84.61,2
 36 ,N1121   , 66 ,85.41,2
 36 ,N1121   , 66.5 ,85.60,2
 36 ,N1121   , 67 ,85.74,2
 36 ,N1121   , 67.5 ,86.49,2
 36 ,N1121   , 68 ,86.66,2
 36 ,N1121   , 68.5 ,86.77,2
 36 ,N1121   , 69 ,87.18,2
 36 ,N1121   , 69.5 ,87.45,2
 36 ,N1121   , 70 ,87.64,3
 36 ,N1121   , 70.5 ,88.09,2
 36 ,N1121   , 71 ,88.73,2
 36 ,N1121   , 71.5 ,89.48,2
 36 ,N1121   , 72 ,89.99,2
 36 ,N1121   , 72.5 ,90.33,2
 36 ,N1121   , 73 ,90.55,2
 36 ,N1121   , 73.5 ,90.70,2
 36 ,N1121   , 74 ,92.13,3
 36 ,N1121   , 74.5 ,92.09,2
 36 ,N1121   , 75 ,92.06,2
 36 ,N1121   , 75.5 ,92.71,2
 36 ,N1121   , 76 ,92.47,2
 36 ,N1121   , 76.5 ,92.65,2
 36 ,N1121   , 77 ,93.10,2
 36 ,N1121   , 77.5 ,93.40,3
 36 ,N1121   , 78 ,93.93,2
 36 ,N1121   , 78.5 ,94.29,2
 36 ,N1121   , 79 ,94.53,3
 36 ,N1121   , 79.5 ,95.35,2
 36 ,N1121   , 80 ,95.23,2
 36 ,N1121   , 80.5 ,95.49,2
 36 ,N1121   , 81 ,95.99,2
 36 ,N1121   , 81.5 ,96.66,3
 36 ,N1121   , 82 ,97.11,2
 36 ,N1121   , 82.5 ,97.07,3
 36 ,N1121   , 83 ,97.38,2
 36 ,N1121   , 83.5 ,97.92,2
 36 ,N1121   , 84 ,98.28,2
 36 ,N1121   , 84.5 ,98.85,2
 36 ,N1121   , 85 ,98.90,3
 36 ,N1121   , 85.5 ,98.93,3
 36 ,N1121   , 86 ,99.29,2
 36 ,N1121   , 86.5 ,99.86,3
 36 ,N1121   , 87 ,100.57,2
 36 ,N1121   , 87.5 ,101.05,2
 36 ,N1121   , 88 ,101.37,3
 36 ,N1121   , 88.5 ,101.24,2
 36 ,N1121   , 89 ,102.16,2
 36 ,N1121   , 89.5 ,102.44,3
 36 ,N1121   , 90 ,102.63,2
 36 ,N1121   , 90.5 ,103.42,3
 36 ,N1121   , 91 ,103.61,2
 36 ,N1121   , 91.5 ,104.07,2
 36 ,N1121   , 92 ,104.72,2
 36 ,N1121   , 92.5 ,104.81,2
 36 ,N1121   , 93 ,105.21,3
 36 ,N1121   , 93.5 ,105.80,2
 36 ,N1121   , 94 ,105.54,2
 36 ,N1121   , 94.5 ,105.36,3
 36 ,N1121   , 95 ,105.91,1
 36 ,N1121   , 95.5 ,106.27,3
 36 ,N1121   , 96 ,107.51,2
 36 ,N1121   , 96.5 ,107.68,3
 36 ,N1121   , 97 ,108.12,2
 36 ,N1121   , 97.5 ,108.41,2
 36 ,N1121   , 98 ,108.27,3
 36 ,N1121   , 98.5 ,109.18,3
 36 ,N1121   , 99 ,109.79,2
 36 ,N1121   , 99.5 ,109.86,3
 36 ,N1121   , 100 ,110.57,3
 36 ,N1121   , 100.5 ,110.72,2
 36 ,N1121   , 101 ,111.48,3
 36 ,N1121   , 101.5 ,111.65,2
 36 ,N1121   , 102 ,111.77,3
 36 ,N1121   , 102.5 ,112.18,3
 36 ,N1121   , 103 ,112.45,2
 36 ,N1121   , 103.5 ,112.30,3
 36 ,N1121   , 104 ,112.87,3
 36 ,N1121   , 104.5 ,113.58,3
 36 ,N1121   , 105 ,113.72,2
 36 ,N1121   , 105.5 ,114.15,3
 36 ,N1121   , 106 ,114.43,2
 36 ,N1121   , 106.5 ,114.62,4
 36 ,N1121   , 107 ,114.75,2
 36 ,N1121   , 107.5 ,115.16,2
 36 ,N1121   , 108 ,115.44,2
 36 ,N1121   , 108.5 ,115.63,3
 36 ,N1121   , 109 ,115.75,3
 36 ,N1121   , 109.5 ,116.50,4
 36 ,N1121   , 110 ,117.00,2
 36 ,N1121   , 110.5 ,118.00,3
 36 ,N1121   , 111 ,118.33,3
 36 ,N1121   , 111.5 ,118.56,2
 36 ,N1121   , 112 ,119.04,2
 36 ,N1121   , 112.5 ,118.69,3
 36 ,N1121   , 113 ,119.13,3
 36 ,N1121   , 113.5 ,119.75,2
 36 ,N1121   , 114 ,120.17,4
 36 ,N1121   , 114.5 ,120.78,3
 36 ,N1121   , 115 ,121.19,2
 36 ,N1121   , 115.5 ,121.46,3
 36 ,N1121   , 116 ,121.64,3
 36 ,N1121   , 116.5 ,122.09,3
 36 ,N1121   , 117 ,122.39,2
 36 ,N1121   , 117.5 ,122.60,3
 36 ,N1121   , 118 ,123.40,3
 36 ,N1121   , 118.5 ,123.27,3
 36 ,N1121   , 119 ,123.51,2
 36 ,N1121   , 119.5 ,124.01,2
 36 ,N1121   , 120 ,124.67,3
 36 ,N1121   , 120.5 ,125.11,2
 36 ,N1121   , 121 ,125.41,2
 36 ,N1121   , 121.5 ,125.94,3
 36 ,N1121   , 122 ,125.96,3
 36 ,N1121   , 122.5 ,126.31,3
 36 ,N1121   , 123 ,126.54,3
 36 ,N1121   , 123.5 ,126.69,3
 36 ,N1121   , 124 ,127.13,3
 36 ,N1121   , 124.5 ,127.75,3
 36 ,N1121   , 125 ,127.50,3
 36 ,N1121   , 125.5 ,128.33,3
 36 ,N1121   , 126 ,128.89,3
 36 ,N1121   , 126.5 ,129.26,3
 36 ,N1121   , 127 ,129.84,3
 36 ,N1121   , 127.5 ,130.23,2
 36 ,N1121   , 128 ,130.48,2
 36 ,N1121   , 128.5 ,130.66,4
 36 ,N1121   , 129 ,130.77,3
 36 ,N1121   , 129.5 ,131.51,2
 36 ,N1121   , 130 ,132.01,4
 36 ,N1121   , 130.5 ,132.01,3
 36 ,N1121   , 131 ,132.67,3
 36 ,N1121   , 131.5 ,132.78,3
 36 ,N1121   , 132 ,133.19,3
 36 ,N1121   , 132.5 ,133.79,3
 36 ,N1121   , 133 ,133.86,2
 36 ,N1121   , 133.5 ,134.24,4
 36 ,N1121   , 134 ,134.49,3
 36 ,N1121   , 134.5 ,135.00,3
 36 ,N1121   , 135 ,135.33,3
 36 ,N1121   , 135.5 ,135.55,2
 36 ,N1121   , 136 ,136.04,3
 36 ,N1121   , 136.5 ,136.69,3
 36 ,N1121   , 137 ,137.46,3
 36 ,N1121   , 137.5 ,138.31,3
 36 ,N1121   , 138 ,138.20,3
 36 ,N1121   , 138.5 ,138.14,3
 36 ,N1121   , 139 ,138.76,3
 36 ,N1121   , 139.5 ,139.17,5
 36 ,N1121   , 140 ,139.45,2
 36 ,N1121   , 140.5 ,139.97,3
 36 ,N1121   , 141 ,140.31,2
 36 ,N1121   , 141.5 ,140.87,3
 36 ,N1121   , 142 ,141.25,2
 36 ,N1121   , 142.5 ,141.83,3
 36 ,N1121   , 143 ,142.22,2
 36 ,N1121   , 143.5 ,142.48,3
 36 ,N1121   , 144 ,142.65,3
 36 ,N1121   , 144.5 ,143.10,3
 36 ,N1121   , 145 ,143.40,3
 36 ,N1121   , 145.5 ,143.60,2
 36 ,N1121   , 146 ,143.73,3
 36 ,N1121   , 146.5 ,143.82,2
 36 ,N1121   , 147 ,144.22,3
 36 ,N1121   , 147.5 ,144.48,2
 36 ,N1121   , 148 ,144.65,3
 36 ,N1121   , 148.5 ,145.43,3
 36 ,N1121   , 149 ,145.96,3
 36 ,N1121   , 149.5 ,145.97,3
 36 ,N1121   , 150 ,145.98,3
 36 ,N1121   , 150.5 ,146.32,3
 36 ,N1121   , 151 ,146.88,2
 36 ,N1121   , 151.5 ,147.59,3
 36 ,N1121   , 152 ,148.39,3
 36 ,N1121   , 152.5 ,148.59,2
 36 ,N1121   , 153 ,148.40,3
 36 ,N1121   , 153.5 ,148.93,3
 36 ,N1121   , 154 ,149.29,3
 36 ,N1121   , 154.5 ,149.52,2
 36 ,N1121   , 155 ,150.02,3
 36 ,N1121   , 155.5 ,150.34,3
 36 ,N1121   , 156 ,150.90,3
 36 ,N1121   , 156.5 ,151.26,3
 36 ,N1121   , 157 ,151.18,3
 36 ,N1121   , 157.5 ,151.78,2
 36 ,N1121   , 158 ,152.52,2
 36 ,N1121   , 158.5 ,153.35,3
 36 ,N1121   , 159 ,153.57,2
 36 ,N1121   , 159.5 ,153.71,2
 36 ,N1121   , 160 ,154.14,3
 36 ,N1121   , 160.5 ,154.76,3
 36 ,N1121   , 161 ,155.51,3
 36 ,N1121   , 161.5 ,155.00,2
 36 ,N1121   , 162 ,155.34,3
 36 ,N1121   , 162.5 ,155.56,2
 36 ,N1121   , 163 ,156.04,3
 36 ,N1121   , 163.5 ,156.36,2
 36 ,N1121   , 164 ,156.57,3
 36 ,N1121   , 164.5 ,157.05,2
