                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  2 Data Points per Second

File Name:        R&D-033019-jackT-groups-2-1-3 34
Date & Time:     4/1/2019 12:00:21 PM

Sample No.,Barcode,Time ( .5s),Temperature,
Counts
 34 ,N1071   , 0 ,36.00,3
 34 ,N1071   , 0.5 ,36.00,2
 34 ,N1071   , 1 ,36.33,3
 34 ,N1071   , 1.5 ,35.89,2
 34 ,N1071   , 2 ,35.93,2
 34 ,N1071   , 2.5 ,35.95,1
 34 ,N1071   , 3 ,35.97,2
 34 ,N1071   , 3.5 ,35.64,2
 34 ,N1071   , 4 ,36.10,3
 34 ,N1071   , 4.5 ,36.73,2
 34 ,N1071   , 5 ,38.15,2
 34 ,N1071   , 5.5 ,39.10,1
 34 ,N1071   , 6 ,39.74,2
 34 ,N1071   , 6.5 ,41.16,2
 34 ,N1071   , 7 ,41.77,2
 34 ,N1071   , 7.5 ,44.51,2
 34 ,N1071   , 8 ,44.01,2
 34 ,N1071   , 8.5 ,43.67,2
 34 ,N1071   , 9 ,43.78,2
 34 ,N1071   , 9.5 ,43.85,2
 34 ,N1071   , 10 ,44.24,3
 34 ,N1071   , 10.5 ,44.49,1
 34 ,N1071   , 11 ,44.66,2
 34 ,N1071   , 11.5 ,44.44,2
 34 ,N1071   , 12 ,44.96,2
 34 ,N1071   , 12.5 ,45.64,1
 34 ,N1071   , 13 ,45.76,3
 34 ,N1071   , 13.5 ,46.51,1
 34 ,N1071   , 14 ,47.00,2
 34 ,N1071   , 14.5 ,47.34,2
 34 ,N1071   , 15 ,45.89,2
 34 ,N1071   , 15.5 ,46.93,2
 34 ,N1071   , 16 ,47.28,2
 34 ,N1071   , 16.5 ,47.52,2
 34 ,N1071   , 17 ,48.35,2
 34 ,N1071   , 17.5 ,48.57,2
 34 ,N1071   , 18 ,49.04,1
 34 ,N1071   , 18.5 ,49.36,2
 34 ,N1071   , 19 ,50.24,2
 34 ,N1071   , 19.5 ,51.16,2
 34 ,N1071   , 20 ,51.11,2
 34 ,N1071   , 20.5 ,49.74,2
 34 ,N1071   , 21 ,50.49,1
 34 ,N1071   , 21.5 ,50.99,2
 34 ,N1071   , 22 ,52.00,2
 34 ,N1071   , 22.5 ,52.66,1
 34 ,N1071   , 23 ,53.11,3
 34 ,N1071   , 23.5 ,53.41,2
 34 ,N1071   , 24 ,53.94,1
 34 ,N1071   , 24.5 ,54.29,2
 34 ,N1071   , 25 ,54.53,2
 34 ,N1071   , 25.5 ,55.35,1
 34 ,N1071   , 26 ,55.90,4
 34 ,N1071   , 26.5 ,56.27,2
 34 ,N1071   , 27 ,56.18,1
 34 ,N1071   , 27.5 ,56.79,2
 34 ,N1071   , 28 ,56.52,2
 34 ,N1071   , 28.5 ,57.02,2
 34 ,N1071   , 29 ,57.68,2
 34 ,N1071   , 29.5 ,58.45,2
 34 ,N1071   , 30 ,58.63,1
 34 ,N1071   , 30.5 ,58.42,2
 34 ,N1071   , 31 ,59.28,2
 34 ,N1071   , 31.5 ,59.85,2
 34 ,N1071   , 32 ,60.24,1
 34 ,N1071   , 32.5 ,60.82,2
 34 ,N1071   , 33 ,60.88,2
 34 ,N1071   , 33.5 ,60.92,2
 34 ,N1071   , 34 ,61.61,2
 34 ,N1071   , 34.5 ,61.41,2
 34 ,N1071   , 35 ,62.27,1
 34 ,N1071   , 35.5 ,62.18,2
 34 ,N1071   , 36 ,62.12,1
 34 ,N1071   , 36.5 ,62.41,2
 34 ,N1071   , 37 ,63.28,2
 34 ,N1071   , 37.5 ,64.85,1
 34 ,N1071   , 38 ,64.90,4
 34 ,N1071   , 38.5 ,64.60,1
 34 ,N1071   , 39 ,65.07,2
 34 ,N1071   , 39.5 ,65.38,2
 34 ,N1071   , 40 ,65.25,1
 34 ,N1071   , 40.5 ,65.83,2
 34 ,N1071   , 41 ,66.22,1
 34 ,N1071   , 41.5 ,67.15,2
 34 ,N1071   , 42 ,67.77,2
 34 ,N1071   , 42.5 ,67.84,2
 34 ,N1071   , 43 ,67.90,2
 34 ,N1071   , 43.5 ,68.26,1
 34 ,N1071   , 44 ,68.18,1
 34 ,N1071   , 44.5 ,68.45,2
 34 ,N1071   , 45 ,69.30,2
 34 ,N1071   , 45.5 ,69.53,1
 34 ,N1071   , 46 ,70.02,3
 34 ,N1071   , 46.5 ,70.01,2
 34 ,N1071   , 47 ,70.68,2
 34 ,N1071   , 47.5 ,71.12,2
 34 ,N1071   , 48 ,71.75,1
 34 ,N1071   , 48.5 ,71.50,2
 34 ,N1071   , 49 ,72.33,2
 34 ,N1071   , 49.5 ,72.89,2
 34 ,N1071   , 50 ,72.59,2
 34 ,N1071   , 50.5 ,73.73,2
 34 ,N1071   , 51 ,74.15,2
 34 ,N1071   , 51.5 ,74.77,1
 34 ,N1071   , 52 ,74.51,2
 34 ,N1071   , 52.5 ,75.34,4
 34 ,N1071   , 53 ,75.23,2
 34 ,N1071   , 53.5 ,75.49,1
 34 ,N1071   , 54 ,75.66,2
 34 ,N1071   , 54.5 ,75.77,2
 34 ,N1071   , 55 ,76.51,1
 34 ,N1071   , 55.5 ,77.01,2
 34 ,N1071   , 56 ,77.34,2
 34 ,N1071   , 56.5 ,78.23,2
 34 ,N1071   , 57 ,78.48,2
 34 ,N1071   , 57.5 ,78.99,2
 34 ,N1071   , 58 ,78.99,2
 34 ,N1071   , 58.5 ,79.33,2
 34 ,N1071   , 59 ,79.55,2
 34 ,N1071   , 59.5 ,80.03,2
 34 ,N1071   , 60 ,80.69,3
 34 ,N1071   , 60.5 ,81.13,2
 34 ,N1071   , 61 ,81.75,2
 34 ,N1071   , 61.5 ,81.83,1
 34 ,N1071   , 62 ,82.22,2
 34 ,N1071   , 62.5 ,82.48,2
 34 ,N1071   , 63 ,82.65,2
 34 ,N1071   , 63.5 ,82.77,2
 34 ,N1071   , 64 ,83.18,2
 34 ,N1071   , 64.5 ,84.12,2
 34 ,N1071   , 65 ,84.41,2
 34 ,N1071   , 65.5 ,84.61,2
 34 ,N1071   , 66 ,85.41,2
 34 ,N1071   , 66.5 ,85.60,2
 34 ,N1071   , 67 ,85.74,1
 34 ,N1071   , 67.5 ,86.49,2
 34 ,N1071   , 68 ,86.66,3
 34 ,N1071   , 68.5 ,86.77,2
 34 ,N1071   , 69 ,87.18,2
 34 ,N1071   , 69.5 ,87.45,2
 34 ,N1071   , 70 ,87.64,1
 34 ,N1071   , 70.5 ,88.09,2
 34 ,N1071   , 71 ,88.73,2
 34 ,N1071   , 71.5 ,89.48,2
 34 ,N1071   , 72 ,89.99,2
 34 ,N1071   , 72.5 ,90.33,2
 34 ,N1071   , 73 ,90.55,2
 34 ,N1071   , 73.5 ,90.70,2
 34 ,N1071   , 74 ,92.13,3
 34 ,N1071   , 74.5 ,92.09,2
 34 ,N1071   , 75 ,92.06,3
 34 ,N1071   , 75.5 ,92.71,3
 34 ,N1071   , 76 ,92.47,2
 34 ,N1071   , 76.5 ,92.65,2
 34 ,N1071   , 77 ,93.10,2
 34 ,N1071   , 77.5 ,93.40,1
 34 ,N1071   , 78 ,93.93,2
 34 ,N1071   , 78.5 ,94.29,2
 34 ,N1071   , 79 ,94.53,3
 34 ,N1071   , 79.5 ,95.35,2
 34 ,N1071   , 80 ,95.23,1
 34 ,N1071   , 80.5 ,95.49,3
 34 ,N1071   , 81 ,95.99,3
 34 ,N1071   , 81.5 ,96.66,2
 34 ,N1071   , 82 ,97.11,2
 34 ,N1071   , 82.5 ,97.07,3
 34 ,N1071   , 83 ,97.38,2
 34 ,N1071   , 83.5 ,97.92,2
 34 ,N1071   , 84 ,98.28,2
 34 ,N1071   , 84.5 ,98.85,2
 34 ,N1071   , 85 ,98.90,3
 34 ,N1071   , 85.5 ,98.93,2
 34 ,N1071   , 86 ,99.29,2
 34 ,N1071   , 86.5 ,99.86,2
 34 ,N1071   , 87 ,100.57,2
 34 ,N1071   , 87.5 ,101.05,2
 34 ,N1071   , 88 ,101.37,2
 34 ,N1071   , 88.5 ,101.24,2
 34 ,N1071   , 89 ,102.16,3
 34 ,N1071   , 89.5 ,102.44,2
 34 ,N1071   , 90 ,102.63,3
 34 ,N1071   , 90.5 ,103.42,2
 34 ,N1071   , 91 ,103.61,2
 34 ,N1071   , 91.5 ,104.07,3
 34 ,N1071   , 92 ,104.72,2
 34 ,N1071   , 92.5 ,104.81,2
 34 ,N1071   , 93 ,105.21,3
 34 ,N1071   , 93.5 ,105.80,3
 34 ,N1071   , 94 ,105.54,2
 34 ,N1071   , 94.5 ,105.36,4
 34 ,N1071   , 95 ,105.91,3
 34 ,N1071   , 95.5 ,106.27,2
 34 ,N1071   , 96 ,107.51,3
 34 ,N1071   , 96.5 ,107.68,3
 34 ,N1071   , 97 ,108.12,3
 34 ,N1071   , 97.5 ,108.41,2
 34 ,N1071   , 98 ,108.27,3
 34 ,N1071   , 98.5 ,109.18,3
 34 ,N1071   , 99 ,109.79,2
 34 ,N1071   , 99.5 ,109.86,2
 34 ,N1071   , 100 ,110.57,2
 34 ,N1071   , 100.5 ,110.72,3
 34 ,N1071   , 101 ,111.48,2
 34 ,N1071   , 101.5 ,111.65,3
 34 ,N1071   , 102 ,111.77,2
 34 ,N1071   , 102.5 ,112.18,3
 34 ,N1071   , 103 ,112.45,4
 34 ,N1071   , 103.5 ,112.30,2
 34 ,N1071   , 104 ,112.87,3
 34 ,N1071   , 104.5 ,113.58,3
 34 ,N1071   , 105 ,113.72,3
 34 ,N1071   , 105.5 ,114.15,3
 34 ,N1071   , 106 ,114.43,4
 34 ,N1071   , 106.5 ,114.62,3
 34 ,N1071   , 107 ,114.75,4
 34 ,N1071   , 107.5 ,115.16,3
 34 ,N1071   , 108 ,115.44,3
 34 ,N1071   , 108.5 ,115.63,3
 34 ,N1071   , 109 ,115.75,3
 34 ,N1071   , 109.5 ,116.50,3
 34 ,N1071   , 110 ,117.00,3
 34 ,N1071   , 110.5 ,118.00,3
 34 ,N1071   , 111 ,118.33,3
 34 ,N1071   , 111.5 ,118.56,2
 34 ,N1071   , 112 ,119.04,3
 34 ,N1071   , 112.5 ,118.69,3
 34 ,N1071   , 113 ,119.13,2
 34 ,N1071   , 113.5 ,119.75,3
 34 ,N1071   , 114 ,120.17,4
 34 ,N1071   , 114.5 ,120.78,3
 34 ,N1071   , 115 ,121.19,3
 34 ,N1071   , 115.5 ,121.46,3
 34 ,N1071   , 116 ,121.64,3
 34 ,N1071   , 116.5 ,122.09,2
 34 ,N1071   , 117 ,122.39,4
 34 ,N1071   , 117.5 ,122.60,3
 34 ,N1071   , 118 ,123.40,3
 34 ,N1071   , 118.5 ,123.27,3
 34 ,N1071   , 119 ,123.51,3
 34 ,N1071   , 119.5 ,124.01,2
 34 ,N1071   , 120 ,124.67,3
 34 ,N1071   , 120.5 ,125.11,3
 34 ,N1071   , 121 ,125.41,4
 34 ,N1071   , 121.5 ,125.94,3
 34 ,N1071   , 122 ,125.96,4
 34 ,N1071   , 122.5 ,126.31,3
 34 ,N1071   , 123 ,126.54,3
 34 ,N1071   , 123.5 ,126.69,4
 34 ,N1071   , 124 ,127.13,3
 34 ,N1071   , 124.5 ,127.75,5
 34 ,N1071   , 125 ,127.50,3
 34 ,N1071   , 125.5 ,128.33,4
 34 ,N1071   , 126 ,128.89,4
 34 ,N1071   , 126.5 ,129.26,3
 34 ,N1071   , 127 ,129.84,3
 34 ,N1071   , 127.5 ,130.23,4
 34 ,N1071   , 128 ,130.48,3
 34 ,N1071   , 128.5 ,130.66,4
 34 ,N1071   , 129 ,130.77,3
 34 ,N1071   , 129.5 ,131.51,4
 34 ,N1071   , 130 ,132.01,3
 34 ,N1071   , 130.5 ,132.01,4
 34 ,N1071   , 131 ,132.67,5
 34 ,N1071   , 131.5 ,132.78,6
 34 ,N1071   , 132 ,133.19,4
 34 ,N1071   , 132.5 ,133.79,3
 34 ,N1071   , 133 ,133.86,3
 34 ,N1071   , 133.5 ,134.24,4
 34 ,N1071   , 134 ,134.49,4
 34 ,N1071   , 134.5 ,135.00,4
 34 ,N1071   , 135 ,135.33,4
 34 ,N1071   , 135.5 ,135.55,5
 34 ,N1071   , 136 ,136.04,4
 34 ,N1071   , 136.5 ,136.69,4
 34 ,N1071   , 137 ,137.46,4
 34 ,N1071   , 137.5 ,138.31,4
 34 ,N1071   , 138 ,138.20,3
 34 ,N1071   , 138.5 ,138.14,3
 34 ,N1071   , 139 ,138.76,3
