                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  2 Data Points per Second

File Name:        R&D-033019-jackT-group4 3
Date & Time:     3/30/2019 2:00:07 PM

Sample No.,Barcode,Time ( .5s),Temperature,
Counts
 3 ,N1091   , 0 ,33.00,2
 3 ,N1091   , 0.5 ,31.00,1
 3 ,N1091   , 1 ,29.33,1
 3 ,N1091   , 1.5 ,27.56,2
 3 ,N1091   , 2 ,27.04,2
 3 ,N1091   , 2.5 ,26.02,1
 3 ,N1091   , 3 ,26.02,1
 3 ,N1091   , 3.5 ,27.01,1
 3 ,N1091   , 4 ,29.01,2
 3 ,N1091   , 4.5 ,31.34,1
 3 ,N1091   , 5 ,34.23,2
 3 ,N1091   , 5.5 ,36.82,1
 3 ,N1091   , 6 ,38.21,1
 3 ,N1091   , 6.5 ,39.14,1
 3 ,N1091   , 7 ,40.43,2
 3 ,N1091   , 7.5 ,41.28,2
 3 ,N1091   , 8 ,42.19,1
 3 ,N1091   , 8.5 ,42.46,1
 3 ,N1091   , 9 ,42.97,1
 3 ,N1091   , 9.5 ,42.98,1
 3 ,N1091   , 10 ,43.99,1
 3 ,N1091   , 10.5 ,44.33,1
 3 ,N1091   , 11 ,45.22,2
 3 ,N1091   , 11.5 ,45.14,1
 3 ,N1091   , 12 ,45.10,1
 3 ,N1091   , 12.5 ,45.40,1
 3 ,N1091   , 13 ,45.27,1
 3 ,N1091   , 13.5 ,46.18,2
 3 ,N1091   , 14 ,46.12,1
 3 ,N1091   , 14.5 ,46.75,2
 3 ,N1091   , 15 ,47.50,1
 3 ,N1091   , 15.5 ,48.00,1
 3 ,N1091   , 16 ,48.33,2
 3 ,N1091   , 16.5 ,48.89,2
 3 ,N1091   , 17 ,48.26,1
 3 ,N1091   , 17.5 ,48.17,1
 3 ,N1091   , 18 ,48.78,1
 3 ,N1091   , 18.5 ,49.19,1
 3 ,N1091   , 19 ,50.13,2
 3 ,N1091   , 19.5 ,50.75,1
 3 ,N1091   , 20 ,51.17,2
 3 ,N1091   , 20.5 ,51.78,1
 3 ,N1091   , 21 ,51.52,1
 3 ,N1091   , 21.5 ,52.01,1
 3 ,N1091   , 22 ,52.34,1
 3 ,N1091   , 22.5 ,52.56,2
 3 ,N1091   , 23 ,53.04,1
 3 ,N1091   , 23.5 ,53.36,2
 3 ,N1091   , 24 ,54.24,1
 3 ,N1091   , 24.5 ,54.49,1
 3 ,N1091   , 25 ,55.00,1
 3 ,N1091   , 25.5 ,55.66,2
 3 ,N1091   , 26 ,56.44,1
 3 ,N1091   , 26.5 ,56.30,1
 3 ,N1091   , 27 ,56.86,2
 3 ,N1091   , 27.5 ,56.91,2
 3 ,N1091   , 28 ,57.94,1
 3 ,N1091   , 28.5 ,57.96,1
 3 ,N1091   , 29 ,57.97,1
 3 ,N1091   , 29.5 ,57.98,2
 3 ,N1091   , 30 ,58.32,1
 3 ,N1091   , 30.5 ,58.55,1
 3 ,N1091   , 31 ,59.03,2
 3 ,N1091   , 31.5 ,59.35,1
 3 ,N1091   , 32 ,59.24,1
 3 ,N1091   , 32.5 ,59.82,1
 3 ,N1091   , 33 ,60.22,2
 3 ,N1091   , 33.5 ,60.14,1
 3 ,N1091   , 34 ,60.76,1
 3 ,N1091   , 34.5 ,60.84,2
 3 ,N1091   , 35 ,61.23,1
 3 ,N1091   , 35.5 ,61.49,1
 3 ,N1091   , 36 ,61.99,1
 3 ,N1091   , 36.5 ,62.66,1
 3 ,N1091   , 37 ,63.11,1
 3 ,N1091   , 37.5 ,64.07,2
 3 ,N1091   , 38 ,64.38,1
 3 ,N1091   , 38.5 ,64.25,1
 3 ,N1091   , 39 ,65.17,1
 3 ,N1091   , 39.5 ,65.45,2
 3 ,N1091   , 40 ,65.96,2
 3 ,N1091   , 40.5 ,66.64,1
 3 ,N1091   , 41 ,66.76,2
 3 ,N1091   , 41.5 ,67.51,2
 3 ,N1091   , 42 ,67.67,2
 3 ,N1091   , 42.5 ,67.78,1
 3 ,N1091   , 43 ,68.19,2
 3 ,N1091   , 43.5 ,68.79,2
 3 ,N1091   , 44 ,68.53,2
 3 ,N1091   , 44.5 ,68.69,2
 3 ,N1091   , 45 ,69.12,1
 3 ,N1091   , 45.5 ,69.42,2
 3 ,N1091   , 46 ,69.94,2
