temp,count_original,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,
26.44000,1.30023,0.00000,0.00000,0.00194,0.00000,0.00000,0.00000,0.00194,1.30023,
25.63000,1.33295,0.00000,0.00000,0.00175,0.00000,0.00000,0.00000,0.00175,1.33295,
25.75000,1.34545,0.00000,0.00000,0.00178,0.00000,0.00000,0.00000,0.00178,1.34545,
26.84000,1.33295,0.00000,0.00000,0.00204,0.00000,0.00000,0.00000,0.00204,1.33295,
28.89000,1.30023,0.00000,0.00000,0.00261,0.00000,0.00000,0.00000,0.00261,1.30023,
31.26000,1.25977,0.00000,0.00000,0.00347,0.00000,0.00000,0.00000,0.00347,1.25977,
34.17000,1.22705,0.00000,0.00000,0.00488,0.00000,0.00000,0.00000,0.00488,1.22705,
36.78000,1.21455,0.00000,0.00000,0.00660,0.00000,0.00000,0.00000,0.00660,1.21455,
38.19000,1.22705,0.00000,0.00000,0.00775,0.00000,0.00000,0.00000,0.00775,1.22705,
39.13000,1.25977,0.00000,0.00000,0.00862,0.00000,0.00000,0.00000,0.00862,1.25977,
40.42000,1.30023,0.00000,0.00000,0.00996,0.00000,0.00000,0.00000,0.00996,1.30023,
41.28000,1.33332,0.00000,0.00000,0.01096,0.00000,0.00000,0.00000,0.01096,1.33332,
42.19000,1.34736,0.00000,0.00000,0.01213,0.00000,0.00000,0.00000,0.01213,1.34736,
42.46000,1.33745,0.00000,0.00000,0.01250,0.00000,0.00000,0.00000,0.01250,1.33745,
42.97000,1.30604,0.00000,0.00000,0.01322,0.00000,0.00000,0.00000,0.01322,1.30604,
42.98000,1.26219,0.00000,0.00000,0.01323,0.00000,0.00000,0.00000,0.01323,1.26219,
43.99000,1.21955,0.00000,0.00000,0.01479,0.00000,0.00000,0.00000,0.01479,1.21955,
44.32000,1.19309,0.00000,0.00000,0.01533,0.00000,0.00000,0.00000,0.01533,1.19309,
45.22000,1.19424,0.00000,0.00000,0.01691,0.00000,0.00000,0.00000,0.01691,1.19424,
45.14000,1.22637,0.00000,0.00000,0.01676,0.00000,0.00000,0.00000,0.01676,1.22637,
45.10000,1.28318,0.00000,0.00000,0.01669,0.00000,0.00000,0.00000,0.01669,1.28318,
45.40000,1.35023,0.00000,0.00000,0.01724,0.00000,0.00000,0.00000,0.01724,1.35023,
45.26000,1.40991,0.00000,0.00000,0.01698,0.00000,0.00000,0.00000,0.01698,1.40991,
46.18000,1.44877,0.00000,0.00000,0.01876,0.00000,0.00000,0.00000,0.01876,1.44877,
46.12000,1.46231,0.00000,0.00000,0.01863,0.00000,0.00000,0.00000,0.01863,1.46231,
46.75000,1.45391,0.00000,0.00000,0.01994,0.00000,0.00000,0.00000,0.01994,1.45391,
47.50000,1.43023,0.00000,0.00000,0.02161,0.00000,0.00000,0.00000,0.02161,1.43023,
48.00000,1.39700,0.00000,0.00000,0.02280,0.00000,0.00000,0.00000,0.02280,1.39700,
48.33000,1.35773,0.00000,0.00000,0.02361,0.00000,0.00000,0.00000,0.02361,1.35773,
48.89000,1.31587,0.00000,0.00000,0.02506,0.00000,0.00000,0.00000,0.02506,1.31587,
48.26000,1.27755,0.00000,0.00000,0.02344,0.00000,0.00000,0.00000,0.02344,1.27755,
48.17000,1.25264,0.00000,0.00000,0.02322,0.00000,0.00000,0.00000,0.02322,1.25264,
48.78000,1.25205,0.00000,0.00000,0.02477,0.00000,0.00000,0.00000,0.02477,1.25205,
49.19000,1.28087,0.00000,0.00000,0.02587,0.00000,0.00000,0.00000,0.02587,1.28087,
50.13000,1.33273,0.00000,0.00000,0.02857,0.00000,0.00000,0.00000,0.02857,1.33273,
50.75000,1.39082,0.00000,0.00000,0.03049,0.00000,0.00000,0.00000,0.03049,1.39082,
51.17000,1.43464,0.00000,0.00000,0.03186,0.00000,0.00000,0.00000,0.03186,1.43464,
51.78000,1.44936,0.00000,0.00000,0.03396,0.00000,0.00000,0.00000,0.03396,1.44936,
51.52000,1.43295,0.00000,0.00000,0.03305,0.00000,0.00000,0.00000,0.03305,1.43295,
52.01000,1.39595,0.00000,0.00000,0.03478,0.00000,0.00000,0.00000,0.03478,1.39595,
52.34000,1.35509,0.00000,0.00000,0.03599,0.00000,0.00000,0.00000,0.03599,1.35509,
52.56000,1.32477,0.00000,0.00000,0.03683,0.00000,0.00000,0.00000,0.03683,1.32477,
53.04000,1.31137,0.00000,0.00000,0.03870,0.00000,0.00000,0.00000,0.03870,1.31137,
53.36000,1.31345,0.00000,0.00000,0.04000,0.00000,0.00000,0.00000,0.04000,1.31345,
54.24000,1.32559,0.00000,0.00000,0.04379,0.00000,0.00000,0.00000,0.04379,1.32559,
54.49000,1.34146,0.00000,0.00000,0.04493,0.00000,0.00000,0.00000,0.04493,1.34146,
55.00000,1.35582,0.00000,0.00000,0.04734,0.00000,0.00000,0.00000,0.04734,1.35582,
55.66000,1.36509,0.00000,0.00000,0.05063,0.00000,0.00000,0.00000,0.05063,1.36509,
56.44000,1.36691,0.00000,0.00000,0.05480,0.00000,0.00000,0.00000,0.05480,1.36691,
56.30000,1.36095,0.00000,0.00000,0.05403,0.00000,0.00000,0.00000,0.05403,1.36095,
56.86000,1.35000,0.00000,0.00000,0.05718,0.00000,0.00000,0.00000,0.05718,1.35000,
56.91000,1.33905,0.00000,0.00000,0.05747,0.00000,0.00000,0.00000,0.05747,1.33905,
57.94000,1.33236,0.00000,0.00000,0.06374,0.00000,0.00000,0.00000,0.06374,1.33236,
57.96000,1.33000,0.00000,0.00000,0.06387,0.00000,0.00000,0.00000,0.06387,1.33000,
