temp,count_original,count_0,count_1,count_2,count_3,count_4,count_5,
66.64000,1.25977,0.00855,1.58534,0.00000,0.00000,1.59389,1.25977,
66.76000,1.26969,0.00860,1.58684,0.00000,0.00000,1.59544,1.26969,
67.51000,1.30542,0.00897,1.59607,0.00000,0.00000,1.60504,1.30542,
67.67000,1.36014,0.00905,1.59802,0.00000,0.00000,1.60707,1.36014,
67.78000,1.42559,0.00910,1.59936,0.00000,0.00000,1.60846,1.42559,
68.19000,1.49477,0.00931,1.60430,0.00000,0.00000,1.61360,1.49477,
68.79000,1.56214,0.00962,1.61144,0.00000,0.00000,1.62105,1.56214,
68.53000,1.62245,0.00948,1.60836,0.00000,0.00000,1.61784,1.62245,
68.69000,1.67009,0.00957,1.61025,0.00000,0.00000,1.61982,1.67009,
69.12000,1.69927,0.00979,1.61531,0.00000,0.00000,1.62510,1.69927,
69.42000,1.70554,0.00995,1.61881,0.00000,0.00000,1.62876,1.70554,
69.94000,1.68745,0.01024,1.62480,0.00000,0.00000,1.63503,1.68745,
70.63000,1.64714,0.01063,1.63261,0.00000,0.00000,1.64323,1.64714,
71.75000,1.59023,0.01129,1.64495,0.00000,0.00000,1.65623,1.59023,
72.17000,1.52486,0.01154,1.64946,0.00000,0.00000,1.66101,1.52486,
72.45000,1.46014,0.01172,1.65244,0.00000,0.00000,1.66416,1.46014,
72.63000,1.40469,0.01183,1.65434,0.00000,0.00000,1.66617,1.40469,
72.42000,1.36477,0.01170,1.65212,0.00000,0.00000,1.66382,1.36477,
72.28000,1.34250,0.01161,1.65064,0.00000,0.00000,1.66225,1.34250,
72.85000,1.33528,0.01197,1.65665,0.00000,0.00000,1.66862,1.33528,
73.57000,1.33741,0.01244,1.66408,0.00000,0.00000,1.67651,1.33741,
73.71000,1.34368,0.01253,1.66550,0.00000,0.00000,1.67803,1.34368,
74.14000,1.35264,0.01282,1.66983,0.00000,0.00000,1.68265,1.35264,
73.76000,1.36682,0.01256,1.66601,0.00000,0.00000,1.67857,1.36682,
73.84000,1.38986,0.01262,1.66681,0.00000,0.00000,1.67943,1.38986,
74.23000,1.42236,0.01288,1.67072,0.00000,0.00000,1.68360,1.42236,
74.48000,1.45991,0.01305,1.67320,0.00000,0.00000,1.68625,1.45991,
74.66000,1.49536,0.01318,1.67497,0.00000,0.00000,1.68815,1.49536,
75.44000,1.52281,0.01373,1.68250,0.00000,0.00000,1.69623,1.52281,
75.96000,1.53950,0.01411,1.68739,0.00000,0.00000,1.70150,1.53950,
76.97000,1.54500,0.01487,1.69660,0.00000,0.00000,1.71148,1.54500,
76.98000,1.53950,0.01488,1.69669,0.00000,0.00000,1.71157,1.53950,
77.32000,1.52245,0.01514,1.69971,0.00000,0.00000,1.71485,1.52245,
77.88000,1.49309,0.01559,1.70457,0.00000,0.00000,1.72016,1.49309,
78.25000,1.45278,0.01589,1.70772,0.00000,0.00000,1.72361,1.45278,
78.84000,1.40714,0.01638,1.71262,0.00000,0.00000,1.72900,1.40714,
78.89000,1.36509,0.01642,1.71303,0.00000,0.00000,1.72946,1.36509,
79.26000,1.33469,0.01674,1.71603,0.00000,0.00000,1.73277,1.33469,
80.17000,1.31946,0.01754,1.72317,0.00000,0.00000,1.74071,1.31946,
80.45000,1.31832,0.01779,1.72530,0.00000,0.00000,1.74309,1.31832,
80.97000,1.32823,0.01827,1.72917,0.00000,0.00000,1.74744,1.32823,
80.98000,1.34710,0.01828,1.72924,0.00000,0.00000,1.74752,1.34710,
81.65000,1.37536,0.01891,1.73406,0.00000,0.00000,1.75297,1.37536,
82.10000,1.41509,0.01934,1.73719,0.00000,0.00000,1.75654,1.41509,
82.73000,1.46646,0.01997,1.74144,0.00000,0.00000,1.76140,1.46646,
83.16000,1.52514,0.02040,1.74423,0.00000,0.00000,1.76464,1.52514,
83.44000,1.58318,0.02069,1.74601,0.00000,0.00000,1.76671,1.58318,
83.96000,1.63236,0.02124,1.74923,0.00000,0.00000,1.77047,1.63236,
84.31000,1.66750,0.02161,1.75133,0.00000,0.00000,1.77295,1.66750,
84.87000,1.68795,0.02222,1.75458,0.00000,0.00000,1.77681,1.68795,
84.91000,1.69627,0.02227,1.75481,0.00000,0.00000,1.77708,1.69627,
85.28000,1.69472,0.02268,1.75687,0.00000,0.00000,1.77956,1.69472,
85.52000,1.68273,0.02295,1.75818,0.00000,0.00000,1.78114,1.68273,
85.68000,1.65750,0.02314,1.75904,0.00000,0.00000,1.78218,1.65750,
87.45000,1.61795,0.02524,1.76777,0.00000,0.00000,1.79302,1.61795,
87.30000,1.56809,0.02506,1.76709,0.00000,0.00000,1.79215,1.56809,
87.53000,1.51682,0.02534,1.76814,0.00000,0.00000,1.79348,1.51682,
87.69000,1.47477,0.02554,1.76885,0.00000,0.00000,1.79439,1.47477,
87.46000,1.45000,0.02526,1.76782,0.00000,0.00000,1.79308,1.45000,
88.31000,1.44432,0.02633,1.77151,0.00000,0.00000,1.79784,1.44432,
88.54000,1.45300,0.02662,1.77246,0.00000,0.00000,1.79908,1.45300,
88.36000,1.46809,0.02639,1.77172,0.00000,0.00000,1.79811,1.46809,
88.57000,1.48286,0.02666,1.77258,0.00000,0.00000,1.79924,1.48286,
89.05000,1.49477,0.02729,1.77446,0.00000,0.00000,1.80176,1.49477,
89.70000,1.50523,0.02817,1.77685,0.00000,0.00000,1.80502,1.50523,
89.80000,1.51750,0.02830,1.77720,0.00000,0.00000,1.80550,1.51750,
90.20000,1.53491,0.02885,1.77855,0.00000,0.00000,1.80741,1.53491,
90.47000,1.55977,0.02923,1.77943,0.00000,0.00000,1.80866,1.55977,
90.64000,1.59309,0.02947,1.77996,0.00000,0.00000,1.80943,1.59309,
90.76000,1.63455,0.02964,1.78033,0.00000,0.00000,1.80997,1.63455,
90.84000,1.68227,0.02976,1.78057,0.00000,0.00000,1.81032,1.68227,
91.23000,1.73332,0.03032,1.78170,0.00000,0.00000,1.81202,1.73332,
91.49000,1.78405,0.03070,1.78242,0.00000,0.00000,1.81312,1.78405,
91.99000,1.82950,0.03144,1.78371,0.00000,0.00000,1.81515,1.82950,
