barcode,temp,Count
N1124   ,33.33,1.7190983005625045
N1124   ,33.22,1.7154508497187468
N1124   ,33.48,1.7059016994374943
N1124   ,33.32,1.6940983005625045
N1124   ,33.21,1.684549150281252
N1124   ,33.48,1.6809016994374943
N1124   ,33.32,1.684549150281252
N1124   ,33.21,1.6940983005625048
N1124   ,34.47,1.705901699437494
N1124   ,36.32,1.7154508497187468
N1124   ,37.88,1.7190983005625047
N1124   ,38.92,1.7154508497187466
N1124   ,39.95,1.7059016994374943
N1124   ,40.3,1.6940983005625045
N1124   ,40.86,1.684549150281252
N1124   ,41.91,1.6809016994374943
N1124   ,42.61,1.6845491502812515
N1124   ,43.07,1.6944630456468806
N1124   ,43.38,1.7085410196624962
N1124   ,43.92,1.7248606797749972
N1124   ,44.28,1.7418237254218785
N1124   ,44.19,1.7580901699437488
N1124   ,44.46,1.772221359549995
N1124   ,44.97,1.7817705098312477
N1124   ,45.31,1.7838196601125003
N1124   ,45.88,1.7776393202250014
N1124   ,45.92,1.7667705098312476
N1124   ,45.95,1.7579508497187466
N1124   ,46.96,1.7568237254218784
N1124   ,47.31,1.7641844051968762
N1124   ,47.21,1.7755369543531185
N1124   ,47.8,1.7823606797749971
N1124   ,48.2,1.7751393202250016
N1124   ,48.14,1.7485410196624964
N1124   ,49.09,1.7043566144656195
N1124   ,49.73,1.6499999999999995
N1124   ,50.15,1.5956433855343795
N1124   ,50.77,1.552188470506254
N1124   ,51.18,1.529774575140626
N1124   ,51.45,1.5349138953656278
N1124   ,51.97,1.5665983005625048
N1124   ,51.98,1.6152254248593731
N1124   ,52.65,1.6653115294937446
N1124   ,52.77,1.6998606797749973
N1124   ,52.85,1.7056762745781202
N1124   ,53.23,1.6780369543531184
N1124   ,53.82,1.6223606797749972
N1124   ,54.21,1.5522745751406257
N1124   ,54.48,1.4851393202250014
N1124   ,54.65,1.4371884705062543
N1124   ,55.43,1.4194630456468804
N1124   ,55.96,1.434549150281252
N1124   ,55.64,1.4749999999999994
N1124   ,56.09,1.5257294901687513
N1124   ,56.39,1.570729490168751
N1124   ,56.93,1.6004508497187466
N1124   ,57.29,1.615086104634371
N1124   ,57.19,1.6219098300562498
N1124   ,57.79,1.6294098300562498
N1124   ,57.86,1.6423606797749972
N1124   ,58.24,1.6599999999999993
N1124   ,58.49,1.6780040653093773
N1124   ,59.0,1.693594235253127
N1124   ,60.0,1.7090450849718744
N1124   ,60.33,1.7294959346906216
N1124   ,60.89,1.757864745084375
N1124   ,61.26,1.7918237254218783
N1124   ,61.84,1.8247213595499951
N1124   ,61.89,1.8486271242968677
N1124   ,62.26,1.8577786404500034
N1124   ,62.51,1.852049150281252
N1124   ,62.01,1.8378976341281166
N1124   ,62.34,1.8246352549156233
N1124   ,62.89,1.8190121959281331
N1124   ,63.26,1.8223606797749974
N1124   ,63.84,1.8311271242968676
N1124   ,64.23,1.8394630456468806
N1124   ,64.48,1.842413895365628
N1124   ,64.99,1.8388525491562415
N1124   ,65.33,1.8315450849718742
N1124   ,66.22,1.8237335554781287
N1124   ,66.48,1.816631189606246
N1124   ,67.32,1.8099999999999994
N1124   ,67.55,1.8044630456468806
N1124   ,67.7,1.8041844051968763
N1124   ,67.8,1.8163196601125007
N1124   ,68.2,1.8459549150281245
N1124   ,68.8,1.8904508497187464
N1124   ,69.87,1.9374999999999993
N1124   ,69.91,1.970225424859373
N1124   ,69.94,1.9768566144656192
N1124   ,70.29,1.9574999999999991
N1124   ,70.86,1.9249138953656275
N1124   ,71.24,1.8997745751406256
N1124   ,71.16,1.9003647450843753
N1124   ,71.11,1.9322745751406256
N1124   ,71.4,1.9855040653093772
N1124   ,71.6,2.039635254915623
N1124   ,72.07,2.0734878040718656
N1124   ,72.71,2.0744959346906215
N1124   ,73.48,2.04446304564688
N1124   ,73.98,2.000225424859373
N1124   ,73.99,1.967725424859373
N1124   ,73.99,1.9701064311812604
N1124   ,74.66,2.0165983005625048
N1124   ,75.11,2.0987664445218694
N1124   ,75.74,2.1941844051968764
N1124   ,76.16,2.275225424859373
N1124   ,76.44,2.320258313903114
N1124   ,76.63,2.321995934690621
N1124   ,76.75,2.2894098300562495
N1124   ,77.5,2.2435410196624965
N1124   ,78.0,2.208733555478129
N1124   ,78.33,2.203647450843757
N1124   ,78.22,2.236094235253127
N1124   ,78.48,2.3014589803375025
N1124   ,78.65,2.384774575140626
N1124   ,79.1,2.467360679774997
N1124   ,79.4,2.5344098300562496
N1124   ,79.6,2.5793566144656195
N1124   ,80.4,2.6034878040718654
N1124   ,81.93,2.611684405196876
N1124   ,81.96,2.609184405196876
N1124   ,82.3,2.6014918693812437
N1124   ,82.87,2.594549150281252
N1124   ,82.91,2.5942376207875064
N1124   ,82.94,2.605815594803123
N1124   ,82.96,2.631770509831248
N1124   ,83.31,2.6696884705062542
N1124   ,83.54,2.713958980337502
N1124   ,83.69,2.7603647450843756
N1124   ,84.46,2.80940983005625
N1124   ,84.97,2.865364745084375
N1124   ,85.32,2.931684405196876
N1124   ,85.88,3.0071352549156236
N1124   ,86.25,3.0858155948031225
N1124   ,86.5,3.160139320225001
N1124   ,86.33,3.225364745084375
N1124   ,86.89,3.2825861046343707
N1124   ,87.59,3.3371352549156232
N1124   ,87.73,3.395278640450004
N1124   ,88.15,3.4627786404500034
N1124   ,88.77,3.5447745751406248
N1124   ,89.18,3.6455040653093764
N1124   ,89.45,3.768057280900006
N1124   ,89.97,3.914827790731256
N1124   ,90.31,4.087135254915622
N1124   ,90.87,4.281770509831246
N1124   ,90.92,4.487639320224999
