---     ,31.0,1.82005321559063,
---     ,32.0,1.827831856040634,
---     ,32.33,1.8374467844093685,
---     ,32.56,1.8452254248593731,
---     ,33.04,1.8481966011250095,
---     ,33.02,1.8452254248593731,
---     ,33.02,1.8374467844093687,
---     ,34.34,1.827831856040634,
---     ,36.23,1.8200532155906297,
---     ,37.82,1.8170820393249931,
---     ,38.88,1.8200532155906302,
---     ,39.92,1.8316515161531353,
---     ,40.28,1.8589057647468723,
---     ,40.85,1.9086803398874983,
---     ,41.9,1.9802786404500035,
---     ,42.6,2.060536954353118,
---     ,43.07,2.125258313903114,
---     ,43.38,2.1474467844093685,
---     ,43.92,2.109946784409369,
---     ,44.28,2.0156762745781203,
---     ,44.19,1.8883155948031225,
---     ,44.46,1.7624999999999995,
---     ,44.97,1.6682827057593816,
---     ,45.31,1.6185081306187554,
---     ,45.88,1.6061803398874983,
---     ,45.92,1.610868810393753,
---     ,45.95,1.6102786404500038,
---     ,46.96,1.5914918693812437,
---     ,47.31,1.5547213595499954,
---     ,47.21,1.5089589803375025,
---     ,47.8,1.465729490168751,
---     ,48.2,1.4347745751406258,
---     ,48.14,1.4218237254218782,
---     ,49.09,1.4280040653093773,
---     ,49.73,1.4501393202250015,
---     ,50.15,1.4822745751406259,
---     ,50.77,1.5173606797749972,
---     ,51.18,1.5479508497187466,
---     ,51.45,1.5674999999999994,
---     ,51.97,1.5723606797749974,
---     ,51.98,1.5624467844093688,
---     ,52.65,1.539860679774997,
---     ,52.77,1.5072745751406258,
---     ,52.85,1.467725424859373,
---     ,53.23,1.425590169943749,
---     ,53.82,1.387188470506254,
---     ,54.21,1.3602786404500038,
---     ,54.48,1.3522745751406258,
---     ,54.65,1.367049150281252,
---     ,55.43,1.4027786404500036,
---     ,55.96,1.4526393202250016,
---     ,55.64,1.5073606797749977,
---     ,56.09,1.5583155948031227,
---     ,56.39,1.5997745751406256,
---     ,56.93,1.6294959346906215,
---     ,57.29,1.6491311896062457,
---     ,57.19,1.6644630456468805,
---     ,57.79,1.6839589803375024,
---     ,57.86,1.7159016994374943,
---     ,58.24,1.7639589803375024,
---     ,58.49,1.8230040653093773,
---     ,59.0,1.878938653790613,
---     ,60.0,1.9130369543531183,
---     ,60.33,1.909184405196876,
---     ,60.89,1.8619427190999909,
---     ,61.26,1.7798074641843669,
---     ,61.84,1.680868810393753,
---     ,61.89,1.5851393202250015,
---     ,62.26,1.5078647450843752,
---     ,62.51,1.456737620787507,
---     ,62.01,1.4329179606750055,
---     ,62.34,1.4335942352531268,
---     ,62.89,1.4550532155906302,
---     ,63.26,1.4946884705062542,
---     ,63.84,1.5498606797749972,
---     ,64.23,1.6152254248593727,
---     ,64.48,1.6813196601125004,
---     ,64.99,1.7351722092687423,
---     ,65.33,1.7638525491562413,
---     ,66.22,1.7594098300562497,
---     ,66.48,1.722586104634371,
---     ,67.32,1.663627124296868,
---     ,67.55,1.5987335554781286,
---     ,67.7,1.543733555478129,
---     ,67.8,1.5085410196624962,
---     ,68.2,1.4946884705062546,
---     ,68.8,1.4971023658718827,
---     ,69.87,1.5085410196624962,
---     ,69.91,1.5225861046343712,
---     ,69.94,1.5343237254218784,
---     ,70.29,1.5402254248593732,
---     ,70.86,1.5380369543531183,
---     ,71.24,1.5269098300562498,
---     ,71.16,1.5072745751406258,
---     ,71.11,1.4806762745781203,
---     ,71.4,1.4499999999999995,
---     ,71.6,1.4193237254218785,
---     ,72.07,1.3930901699437492,
---     ,72.71,1.3749999999999996,
---     ,73.48,1.3668237254218785,
---     ,73.98,1.368229490168751,
---     ,73.99,1.3782294901687508,
---     ,73.99,1.3979179606750054,
---     ,74.66,1.4332827057593813,
---     ,75.11,1.4946884705062544,
---     ,75.74,1.5914589803375028,
---     ,76.16,1.7238196601125004,
---     ,76.44,1.8766311896062455,
---     ,76.63,2.0203976341281162,
---     ,76.75,2.1213525491562413,
---     ,77.5,2.155762379212492,
