barcode,temp,Count
N1126   ,28.33,0.28017220926874314
N1126   ,29.89,0.2819098300562504
N1126   ,30.93,0.2864589803375031
N1126   ,31.62,0.29208203932499366
N1126   ,32.08,0.29663118960624624
N1126   ,32.72,0.29836881039375357
N1126   ,32.81,0.29663118960624624
N1126   ,32.88,0.29208203932499355
N1126   ,32.92,0.28645898033750306
N1126   ,33.28,0.2819098300562505
N1126   ,33.19,0.2801722092687431
N1126   ,32.79,0.2819098300562504
N1126   ,32.86,0.28432372542187884
N1126   ,32.91,0.2812664445218704
N1126   ,33.27,0.26795084971874733
N1126   ,32.85,0.24432372542187886
N1126   ,32.9,0.21595491502812517
N1126   ,32.93,0.19249999999999995
N1126   ,32.62,0.1833688103937536
N1126   ,32.75,0.19249999999999992
N1126   ,32.83,0.21559016994374938
N1126   ,32.89,0.24168440519687673
N1126   ,32.59,0.2585410196624967
N1126   ,32.73,0.25854101966249676
N1126   ,32.82,0.24168440519687673
N1126   ,32.88,0.21559016994374938
N1126   ,33.25,0.19249999999999995
N1126   ,33.17,0.1833688103937536
N1126   ,33.11,0.19249999999999992
N1126   ,32.74,0.21559016994374938
N1126   ,32.83,0.24168440519687673
N1126   ,32.89,0.2585410196624967
N1126   ,32.92,0.25854101966249676
N1126   ,32.95,0.24168440519687673
N1126   ,33.3,0.2152254248593736
N1126   ,33.2,0.18986067977499782
N1126   ,33.13,0.1735942352531273
N1126   ,33.42,0.1678647450843757
N1126   ,33.28,0.1684549150281252
N1126   ,33.19,0.16954915028125256
N1126   ,33.13,0.16845491502812518
N1126   ,33.08,0.16786474508437574
N1126   ,33.39,0.1735942352531273
N1126   ,33.93,0.1898606797749978
N1126   ,35.28,0.2152254248593736
N1126   ,35.52,0.24204915028125254
N1126   ,36.35,0.26081559480312305
N1126   ,36.9,0.26567627457812093
N1126   ,37.93,0.2572745751406262
N1126   ,38.96,0.24263932022500198
N1126   ,39.64,0.23177050983124833
N1126   ,40.09,0.23177050983124833
N1126   ,40.39,0.24263932022500204
N1126   ,40.6,0.257639320225002
N1126   ,40.73,0.2679508497187473
