barcode,temp,Count
N1137   ,34.33,0.2854508497187473
N1137   ,33.89,0.2920491502812525
N1137   ,33.59,0.3093237254218788
N1137   ,33.4,0.33067627457812093
N1137   ,33.26,0.3479508497187473
N1137   ,33.51,0.3545491502812525
N1137   ,33.34,0.3479508497187473
N1137   ,33.23,0.330676274578121
N1137   ,33.15,0.30932372542187886
N1137   ,33.43,0.2920491502812526
N1137   ,33.29,0.2854508497187473
N1137   ,32.86,0.2920491502812525
N1137   ,32.91,0.3093237254218788
N1137   ,32.94,0.3310410196624967
N1137   ,33.29,0.3502254248593735
N1137   ,32.86,0.36204915028125245
N1137   ,32.91,0.365815594803123
N1137   ,32.94,0.3652254248593735
N1137   ,32.63,0.366458980337503
N1137   ,32.75,0.3742705098312482
N1137   ,32.83,0.3878115294937451
N1137   ,32.89,0.4001393202250019
N1137   ,32.59,0.4030040653093777
N1137   ,32.73,0.393176274578121
N1137   ,32.82,0.3748606797749978
N1137   ,32.88,0.3571884705062546
N1137   ,33.25,0.3495491502812525
N1137   ,33.17,0.3566311896062462
N1137   ,33.11,0.3752254248593735
N1137   ,32.74,0.39564338553437983
N1137   ,32.83,0.40749999999999986
N1137   ,32.89,0.4057623792124926
N1137   ,32.92,0.39249999999999985
N1137   ,32.95,0.37373355547812936
N1137   ,33.3,0.3553115294937452
N1137   ,33.2,0.3404508497187473
N1137   ,33.13,0.32887287570313145
N1137   ,33.42,0.3180901699437494
N1137   ,33.28,0.3062664445218704
N1137   ,33.19,0.2940983005625052
N1137   ,33.13,0.2849138953656284
N1137   ,33.08,0.283176274578121
N1137   ,33.39,0.2916844051968767
N1137   ,33.93,0.3093237254218788
N1137   ,35.28,0.3310410196624967
N1137   ,35.52,0.34986067977499774
N1137   ,36.35,0.3594098300562503
N1137   ,36.9,0.35640576474687247
N1137   ,37.93,0.3424999999999999
N1137   ,38.96,0.323819660112501
N1137   ,39.64,0.3079508497187473
N1137   ,40.09,0.300139320225002
N1137   ,40.39,0.30123355547812936
N1137   ,40.6,0.30854101966249675
N1137   ,40.73,0.3180901699437494
N1137   ,40.82,0.3262335554781294
N1137   ,40.55,0.33104101966249677
N1137   ,40.7,0.3329508497187473
N1137   ,41.13,0.3333688103937536
N1137   ,41.42,0.3333155948031231
N1137   ,41.61,0.33331559480312306
N1137   ,41.74,0.3337335554781294
N1137   ,41.5,0.33559016994374935
N1137   ,41.66,0.34045084971874723
N1137   ,41.78,0.34895898033750306
N1137   ,42.18,0.3603647450843756
N1137   ,42.46,0.3725861046343714
N1137   ,42.97,0.38213525491562406
N1137   ,43.31,0.3857294901687514
N1137   ,43.21,0.38213525491562406
N1137   ,43.14,0.37222135954999575
N1137   ,43.09,0.35809016994374937
N1137   ,43.06,0.34182372542187883
N1137   ,43.04,0.3252254248593736
N1137   ,43.69,0.3108155948031231
N1137   ,43.8,0.3015983005625052
N1137   ,43.86,0.29977457514062616
N1137   ,43.91,0.3053115294937452
N1137   ,43.94,0.3144098300562504
N1137   ,43.96,0.32013932022500197
N1137   ,44.31,0.31640576474687254
N1137   ,44.2,0.3024999999999999
N1137   ,44.47,0.28454915028125255
N1137   ,44.31,0.27213525491562407
N1137   ,44.88,0.2721352549156241
N1137   ,45.25,0.2849138953656283
N1137   ,45.17,0.305139320225002
N1137   ,45.11,0.32581559480312305
N1137   ,45.41,0.3428647450843757
N1137   ,45.6,0.3570491502812525
N1137   ,45.4,0.3716311896062462
N1137   ,44.94,0.3878115294937451
N1137   ,44.96,0.4024138953656282
N1137   ,45.64,0.41013932022500194
N1137   ,45.76,0.4084016994374946
N1137   ,45.84,0.399635254915624
N1137   ,46.23,0.3893237254218788
N1137   ,46.15,0.3827254248593735
N1137   ,46.43,0.38199593469062193
N1137   ,46.62,0.3847745751406262
N1137   ,46.75,0.3860942352531272
N1137   ,46.83,0.38213525491562406
N1137   ,46.89,0.37258610463437153
N1137   ,46.93,0.36036474508437566
N1137   ,46.95,0.34895898033750306
N1137   ,46.97,0.34045084971874734
N1137   ,46.98,0.3355901699437494
N1137   ,46.99,0.3337335554781294
N1137   ,47.32,0.3333155948031231
N1137   ,47.55,0.33331559480312306
N1137   ,47.7,0.33409830056250517
N1137   ,48.13,0.3382294901687515
N1137   ,47.76,0.3502254248593736
N1137   ,47.84,0.37359423525312724
N1137   ,48.22,0.40786474508437565
N1137   ,48.15,0.4473606797749977
N1137   ,48.43,0.4816311896062462
N1137   ,48.62,0.49876644452187036
N1137   ,48.75,0.49095491502812505
N1137   ,49.17,0.45977457514062614
N1137   ,49.11,0.4175861046343714
N1137   ,50.07,0.3822745751406262
N1137   ,49.72,0.36901219592813356
N1137   ,49.48,0.3845491502812525
N1137   ,49.32,0.4247213595499957
N1137   ,49.55,0.4749999999999998
N1137   ,50.03,0.5157294901687514
N1137   ,50.35,0.5309016994374945
N1137   ,50.57,0.515172209268743
N1137   ,51.05,0.47499999999999987
N1137   ,51.36,0.42454915028125245
N1137   ,51.24,0.37963525491562405
N1137   ,51.16,0.3519098300562504
N1137   ,51.11,0.3443237254218788
N1137   ,51.41,0.3503647450843757
N1137   ,51.27,0.35868033988749887
N1137   ,51.51,0.35977457514062616
N1137   ,51.68,0.35022542485937364
N1137   ,51.45,0.3333155948031231
N1137   ,51.3,0.316458980337503
N1137   ,51.2,0.30727457514062617
N1137   ,51.47,0.31022542485937354
N1137   ,51.98,0.3241844051968767
N1137   ,51.99,0.34249999999999986
N1137   ,52.66,0.3564057647468725
N1137   ,52.44,0.3594098300562504
N1137   ,52.96,0.34986067977499785
