                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  10 Data Points per Second

File Name:        R&D-061519-jeremy-differentdoses 53
Date & Time:     6/15/2019 6:03:07 PM

Sample No.,Barcode,Time ( .1s),Temperature,
Counts
 53 ,N1086   , 0 ,35.00,1
 53 ,N1086   , 0.1 ,34.33,0
 53 ,N1086   , 0.2 ,33.89,1
 53 ,N1086   , 0.3 ,33.59,0
 53 ,N1086   , 0.4 ,33.40,0
 53 ,N1086   , 0.5 ,33.26,0
 53 ,N1086   , 0.6 ,33.51,1
 53 ,N1086   , 0.7 ,33.34,0
 53 ,N1086   , 0.8 ,33.23,1
 53 ,N1086   , 0.9 ,33.15,0
 53 ,N1086   , 1 ,33.43,0
 53 ,N1086   , 1.1 ,33.29,1
 53 ,N1086   , 1.2 ,32.86,0
 53 ,N1086   , 1.3 ,32.91,0
 53 ,N1086   , 1.4 ,32.94,1
 53 ,N1086   , 1.5 ,33.29,0
 53 ,N1086   , 1.6 ,32.86,1
 53 ,N1086   , 1.7 ,32.91,0
 53 ,N1086   , 1.8 ,32.94,1
 53 ,N1086   , 1.9 ,32.63,0
 53 ,N1086   , 2 ,32.75,0
 53 ,N1086   , 2.1 ,32.83,1
 53 ,N1086   , 2.2 ,32.89,0
 53 ,N1086   , 2.3 ,32.59,0
 53 ,N1086   , 2.4 ,32.73,0
 53 ,N1086   , 2.5 ,32.82,1
 53 ,N1086   , 2.6 ,32.88,0
 53 ,N1086   , 2.7 ,33.25,0
 53 ,N1086   , 2.8 ,33.17,1
 53 ,N1086   , 2.9 ,33.11,0
 53 ,N1086   , 3 ,32.74,0
 53 ,N1086   , 3.1 ,32.83,1
 53 ,N1086   , 3.2 ,32.89,0
 53 ,N1086   , 3.3 ,32.92,0
 53 ,N1086   , 3.4 ,32.95,0
 53 ,N1086   , 3.5 ,33.30,1
 53 ,N1086   , 3.6 ,33.20,0
 53 ,N1086   , 3.7 ,33.13,0
 53 ,N1086   , 3.8 ,33.42,1
 53 ,N1086   , 3.9 ,33.28,0
 53 ,N1086   , 4 ,33.19,0
 53 ,N1086   , 4.1 ,33.13,1
 53 ,N1086   , 4.2 ,33.08,0
 53 ,N1086   , 4.3 ,33.39,0
 53 ,N1086   , 4.4 ,33.93,1
 53 ,N1086   , 4.5 ,35.28,0
 53 ,N1086   , 4.6 ,35.52,0
 53 ,N1086   , 4.7 ,36.35,0
 53 ,N1086   , 4.8 ,36.90,1
 53 ,N1086   , 4.9 ,37.93,0
 53 ,N1086   , 5 ,38.96,0
 53 ,N1086   , 5.1 ,39.64,0
 53 ,N1086   , 5.2 ,40.09,0
 53 ,N1086   , 5.3 ,40.39,1
 53 ,N1086   , 5.4 ,40.60,1
 53 ,N1086   , 5.5 ,40.73,0
 53 ,N1086   , 5.6 ,40.82,0
 53 ,N1086   , 5.7 ,40.55,1
 53 ,N1086   , 5.8 ,40.70,0
 53 ,N1086   , 5.9 ,41.13,0
 53 ,N1086   , 6 ,41.42,0
 53 ,N1086   , 6.1 ,41.61,1
 53 ,N1086   , 6.2 ,41.74,0
 53 ,N1086   , 6.3 ,41.50,0
 53 ,N1086   , 6.4 ,41.66,1
 53 ,N1086   , 6.5 ,41.78,0
 53 ,N1086   , 6.6 ,42.18,0
 53 ,N1086   , 6.7 ,42.46,1
 53 ,N1086   , 6.8 ,42.97,0
 53 ,N1086   , 6.9 ,43.31,1
 53 ,N1086   , 7 ,43.21,0
 53 ,N1086   , 7.1 ,43.14,1
 53 ,N1086   , 7.2 ,43.09,0
 53 ,N1086   , 7.3 ,43.06,0
 53 ,N1086   , 7.4 ,43.04,0
 53 ,N1086   , 7.5 ,43.69,1
 53 ,N1086   , 7.6 ,43.80,0
 53 ,N1086   , 7.7 ,43.86,0
 53 ,N1086   , 7.8 ,43.91,1
 53 ,N1086   , 7.9 ,43.94,0
 53 ,N1086   , 8 ,43.96,0
 53 ,N1086   , 8.1 ,44.31,0
 53 ,N1086   , 8.2 ,44.20,1
 53 ,N1086   , 8.3 ,44.47,0
 53 ,N1086   , 8.4 ,44.31,0
 53 ,N1086   , 8.5 ,44.88,0
 53 ,N1086   , 8.6 ,45.25,1
 53 ,N1086   , 8.7 ,45.17,0
 53 ,N1086   , 8.8 ,45.11,0
 53 ,N1086   , 8.9 ,45.41,1
 53 ,N1086   , 9 ,45.60,0
 53 ,N1086   , 9.1 ,45.40,0
 53 ,N1086   , 9.2 ,44.94,1
 53 ,N1086   , 9.3 ,44.96,0
 53 ,N1086   , 9.4 ,45.64,1
