                       Research (Cts/Temp.) Glow Curve,,,,
Sampling Rate is  10 Data Points per Second,,,,
,,,,
File Name:        R&D-061519-jeremy-differentdoses 4,,,,
Date & Time:     6/15/2019 6:03:04 PM,,,,
,,,,
Sample No.,Barcode,Time ( .1s),Temperature,
Counts,,,,
4,N1034   ,17.1,55.25,1
4,N1034   ,17.2,55.5,0
4,N1034   ,17.3,55.33,0
4,N1034   ,17.4,55.89,1
4,N1034   ,17.5,56.26,1
4,N1034   ,17.6,56.51,0
4,N1034   ,17.7,57,0
4,N1034   ,17.8,56.67,1
4,N1034   ,17.9,56.45,0
4,N1034   ,18,56.63,1
4,N1034   ,18.1,56.75,0
4,N1034   ,18.2,57.17,0
4,N1034   ,18.3,57.45,1
4,N1034   ,18.4,57.63,1
4,N1034   ,18.5,57.75,1
4,N1034   ,18.6,57.5,0
4,N1034   ,18.7,57.34,1
4,N1034   ,18.8,57.22,1
4,N1034   ,18.9,57.48,0
4,N1034   ,19,57.99,1
4,N1034   ,19.1,57.99,0
4,N1034   ,19.2,57.99,1
4,N1034   ,19.3,58.66,0
4,N1034   ,19.4,58.44,1
4,N1034   ,19.5,58.29,0
4,N1034   ,19.6,58.2,1
4,N1034   ,19.7,58.46,0
4,N1034   ,19.8,58.98,1
4,N1034   ,19.9,59.32,0
4,N1034   ,20,59.54,1
4,N1034   ,20.1,59.36,0
4,N1034   ,20.2,59.24,1
4,N1034   ,20.3,59.49,0
4,N1034   ,20.4,60,1
4,N1034   ,20.5,60,0
4,N1034   ,20.6,60,1
4,N1034   ,20.7,60,0
4,N1034   ,20.8,60.33,1
4,N1034   ,20.9,60.56,0
4,N1034   ,21,60.37,1
4,N1034   ,21.1,60.58,1
4,N1034   ,21.2,60.39,0
4,N1034   ,21.3,60.59,1
4,N1034   ,21.4,61.06,1
4,N1034   ,21.5,61.04,0
4,N1034   ,21.6,61.36,1
4,N1034   ,21.7,61.24,0
4,N1034   ,21.8,62.16,1
4,N1034   ,21.9,62.44,0
4,N1034   ,22,62.29,1
4,N1034   ,22.1,62.53,1
4,N1034   ,22.2,62.35,1
4,N1034   ,22.3,62.57,0
4,N1034   ,22.4,62.71,1
4,N1034   ,22.5,62.47,1
4,N1034   ,22.6,62.65,0
4,N1034   ,22.7,62.77,1
4,N1034   ,22.8,62.84,1
4,N1034   ,22.9,63.23,1
4,N1034   ,23,63.49,0
4,N1034   ,23.1,63.66,1
4,N1034   ,23.2,63.11,1
4,N1034   ,23.3,63.74,1
4,N1034   ,23.4,63.49,0
4,N1034   ,23.5,63.66,1
4,N1034   ,23.6,64.11,1
4,N1034   ,23.7,64.4,1
4,N1034   ,23.8,64.6,1
4,N1034   ,23.9,65.07,1
4,N1034   ,24,65.05,1
4,N1034   ,24.1,65.03,1
4,N1034   ,24.2,65.02,0
4,N1034   ,24.3,65.01,1
4,N1034   ,24.4,65.01,1
4,N1034   ,24.5,64.67,1
4,N1034   ,24.6,65.12,1
4,N1034   ,24.7,65.41,1
4,N1034   ,24.8,65.61,0
4,N1034   ,24.9,65.4,1
4,N1034   ,25,65.6,2
4,N1034   ,25.1,65.74,1
4,N1034   ,25.2,66.16,0
4,N1034   ,25.3,66.44,1
4,N1034   ,25.4,66.63,1
4,N1034   ,25.5,67.08,1
4,N1034   ,25.6,67.06,1
4,N1034   ,25.7,67.37,1
4,N1034   ,25.8,67.58,1
4,N1034   ,25.9,67.39,1
4,N1034   ,26,67.26,1
4,N1034   ,26.1,66.17,0
4,N1034   ,26.2,66.45,1
4,N1034   ,26.3,66.97,2
4,N1034   ,26.4,67.31,0
4,N1034   ,26.5,67.54,2
4,N1034   ,26.6,68.03,1
4,N1034   ,26.7,68.35,0
