                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  10 Data Points per Second

File Name:        R&D-061519-jeremy-differentdoses 94
Date & Time:     6/15/2019 6:03:09 PM

Sample No.,Barcode,Time ( .1s),Temperature,
Counts
 94 ,N1036   , 0 ,35.00,0
 94 ,N1036   , 0.1 ,34.33,0
 94 ,N1036   , 0.2 ,33.89,1
 94 ,N1036   , 0.3 ,33.59,0
 94 ,N1036   , 0.4 ,33.40,0
 94 ,N1036   , 0.5 ,33.26,1
 94 ,N1036   , 0.6 ,33.51,0
 94 ,N1036   , 0.7 ,33.34,0
 94 ,N1036   , 0.8 ,33.23,1
 94 ,N1036   , 0.9 ,33.15,0
 94 ,N1036   , 1 ,33.43,1
 94 ,N1036   , 1.1 ,33.29,0
 94 ,N1036   , 1.2 ,32.86,1
 94 ,N1036   , 1.3 ,32.91,0
 94 ,N1036   , 1.4 ,32.94,0
 94 ,N1036   , 1.5 ,33.29,1
 94 ,N1036   , 1.6 ,32.86,0
 94 ,N1036   , 1.7 ,32.91,1
 94 ,N1036   , 1.8 ,32.94,0
 94 ,N1036   , 1.9 ,32.63,0
 94 ,N1036   , 2 ,32.75,1
 94 ,N1036   , 2.1 ,32.83,0
 94 ,N1036   , 2.2 ,32.89,1
 94 ,N1036   , 2.3 ,32.59,0
 94 ,N1036   , 2.4 ,32.73,1
 94 ,N1036   , 2.5 ,32.82,0
 94 ,N1036   , 2.6 ,32.88,0
 94 ,N1036   , 2.7 ,33.25,1
 94 ,N1036   , 2.8 ,33.17,0
 94 ,N1036   , 2.9 ,33.11,0
 94 ,N1036   , 3 ,32.74,1
 94 ,N1036   , 3.1 ,32.83,0
 94 ,N1036   , 3.2 ,32.89,0
 94 ,N1036   , 3.3 ,32.92,1
 94 ,N1036   , 3.4 ,32.95,0
 94 ,N1036   , 3.5 ,33.30,0
 94 ,N1036   , 3.6 ,33.20,1
 94 ,N1036   , 3.7 ,33.13,0
 94 ,N1036   , 3.8 ,33.42,1
 94 ,N1036   , 3.9 ,33.28,0
 94 ,N1036   , 4 ,33.19,0
 94 ,N1036   , 4.1 ,33.13,0
 94 ,N1036   , 4.2 ,33.08,1
 94 ,N1036   , 4.3 ,33.39,0
 94 ,N1036   , 4.4 ,33.93,0
 94 ,N1036   , 4.5 ,35.28,1
 94 ,N1036   , 4.6 ,35.52,0
 94 ,N1036   , 4.7 ,36.35,1
 94 ,N1036   , 4.8 ,36.90,0
 94 ,N1036   , 4.9 ,37.93,0
 94 ,N1036   , 5 ,38.96,0
 94 ,N1036   , 5.1 ,39.64,1
 94 ,N1036   , 5.2 ,40.09,0
 94 ,N1036   , 5.3 ,40.39,0
 94 ,N1036   , 5.4 ,40.60,1
 94 ,N1036   , 5.5 ,40.73,0
 94 ,N1036   , 5.6 ,40.82,1
 94 ,N1036   , 5.7 ,40.55,0
 94 ,N1036   , 5.8 ,40.70,0
 94 ,N1036   , 5.9 ,41.13,1
 94 ,N1036   , 6 ,41.42,0
 94 ,N1036   , 6.1 ,41.61,0
 94 ,N1036   , 6.2 ,41.74,0
 94 ,N1036   , 6.3 ,41.50,1
 94 ,N1036   , 6.4 ,41.66,0
 94 ,N1036   , 6.5 ,41.78,1
 94 ,N1036   , 6.6 ,42.18,0
 94 ,N1036   , 6.7 ,42.46,0
 94 ,N1036   , 6.8 ,42.97,1
 94 ,N1036   , 6.9 ,43.31,1
 94 ,N1036   , 7 ,43.21,0
 94 ,N1036   , 7.1 ,43.14,0
 94 ,N1036   , 7.2 ,43.09,1
 94 ,N1036   , 7.3 ,43.06,0
 94 ,N1036   , 7.4 ,43.04,0
 94 ,N1036   , 7.5 ,43.69,0
 94 ,N1036   , 7.6 ,43.80,1
 94 ,N1036   , 7.7 ,43.86,0
 94 ,N1036   , 7.8 ,43.91,0
 94 ,N1036   , 7.9 ,43.94,1
 94 ,N1036   , 8 ,43.96,0
 94 ,N1036   , 8.1 ,44.31,1
 94 ,N1036   , 8.2 ,44.20,0
 94 ,N1036   , 8.3 ,44.47,0
 94 ,N1036   , 8.4 ,44.31,1
 94 ,N1036   , 8.5 ,44.88,0
