temp,count_original,count_0,
30,1.00000,0.00000,
30,1.00000,0.00000,
31,1.00000,0.00000,
31,1.00000,0.00000,
31,0.00000,0.00000,
31,1.00000,0.00000,
31,0.00000,0.00000,
31,0.00000,0.00000,
31,1.00000,0.00000,
31,0.00000,0.00000,
31,0.00000,0.00000,
31,0.00000,0.00000,
31,0.00000,0.00000,
31,0.00000,0.00000,
31,0.00000,0.00000,
31,0.00000,0.00000,
31,0.00000,0.00000,
31,0.00000,0.00000,
31,0.00000,0.00000,
31,0.00000,0.00000,
32,0.00000,0.00000,
32,0.00000,0.00000,
34,0.00000,0.00000,
35,0.00000,0.00000,
36,0.00000,0.00000,
38,0.00000,0.00000,
39,0.00000,0.00000,
40,0.00000,0.00000,
41,0.00000,0.00000,
43,0.00000,0.00000,
45,0.00000,0.00000,
47,0.00000,0.00000,
48,0.00000,0.00000,
49,0.00000,0.00000,
51,0.00000,0.00000,
52,0.00000,0.00000,
54,0.00000,0.00000,
56,0.00000,0.00000,
58,0.00000,0.00000,
59,1.00000,0.00000,
61,0.00000,0.00000,
63,0.00000,0.00000,
65,1.00000,0.00000,
66,0.00000,0.00000,
67,0.00000,0.00000,
69,0.00000,0.00000,
71,0.00000,0.00000,
72,1.00000,0.00000,
74,0.00000,0.00000,
75,1.00000,0.00001,
77,0.00000,0.00001,
78,1.00000,0.00001,
79,0.00000,0.00001,
80,0.00000,0.00001,
80,1.00000,0.00001,
80,1.00000,0.00001,
81,0.00000,0.00002,
81,1.00000,0.00002,
81,0.00000,0.00002,
81,1.00000,0.00002,
80,0.00000,0.00001,
81,1.00000,0.00002,
81,0.00000,0.00002,
81,1.00000,0.00002,
81,0.00000,0.00002,
81,1.00000,0.00002,
81,0.00000,0.00002,
81,1.00000,0.00002,
81,0.00000,0.00002,
81,1.00000,0.00002,
82,0.00000,0.00002,
82,1.00000,0.00002,
82,1.00000,0.00002,
82,0.00000,0.00002,
82,1.00000,0.00002,
82,1.00000,0.00002,
82,1.00000,0.00002,
82,1.00000,0.00002,
82,1.00000,0.00002,
83,1.00000,0.00002,
83,1.00000,0.00002,
83,1.00000,0.00002,
83,1.00000,0.00002,
83,1.00000,0.00002,
83,1.00000,0.00002,
83,1.00000,0.00002,
83,1.00000,0.00002,
83,1.00000,0.00002,
83,1.00000,0.00002,
84,1.00000,0.00003,
84,2.00000,0.00003,
84,2.00000,0.00003,
84,1.00000,0.00003,
84,2.00000,0.00003,
84,2.00000,0.00003,
84,2.00000,0.00003,
84,2.00000,0.00003,
84,2.00000,0.00003,
84,2.00000,0.00003,
84,2.00000,0.00003,
84,2.00000,0.00003,
85,2.00000,0.00003,
85,2.00000,0.00003,
85,2.00000,0.00003,
85,2.00000,0.00003,
85,2.00000,0.00003,
85,2.00000,0.00003,
85,3.00000,0.00003,
84,3.00000,0.00003,
84,2.00000,0.00003,
85,3.00000,0.00003,
85,3.00000,0.00003,
85,3.00000,0.00003,
85,3.00000,0.00003,
85,3.00000,0.00003,
85,3.00000,0.00003,
85,3.00000,0.00003,
85,3.00000,0.00003,
85,4.00000,0.00003,
85,3.00000,0.00003,
85,4.00000,0.00003,
85,3.00000,0.00003,
85,4.00000,0.00003,
85,4.00000,0.00003,
85,4.00000,0.00003,
85,4.00000,0.00003,
86,4.00000,0.00004,
86,4.00000,0.00004,
86,4.00000,0.00004,
86,4.00000,0.00004,
86,4.00000,0.00004,
86,4.00000,0.00004,
87,4.00000,0.00005,
86,4.00000,0.00004,
86,5.00000,0.00004,
86,5.00000,0.00004,
87,5.00000,0.00005,
87,5.00000,0.00005,
87,5.00000,0.00005,
87,5.00000,0.00005,
87,5.00000,0.00005,
87,5.00000,0.00005,
87,5.00000,0.00005,
87,5.00000,0.00005,
87,5.00000,0.00005,
87,5.00000,0.00005,
87,5.00000,0.00005,
88,5.00000,0.00005,
88,5.00000,0.00005,
88,5.00000,0.00005,
88,6.00000,0.00005,
88,6.00000,0.00005,
88,6.00000,0.00005,
88,6.00000,0.00005,
88,6.00000,0.00005,
88,6.00000,0.00005,
88,6.00000,0.00005,
88,7.00000,0.00005,
88,6.00000,0.00005,
88,6.00000,0.00005,
88,6.00000,0.00005,
88,6.00000,0.00005,
88,7.00000,0.00005,
88,7.00000,0.00005,
89,7.00000,0.00007,
89,7.00000,0.00007,
89,7.00000,0.00007,
90,7.00000,0.00008,
90,7.00000,0.00008,
89,7.00000,0.00007,
89,8.00000,0.00007,
90,8.00000,0.00008,
90,8.00000,0.00008,
89,8.00000,0.00007,
90,8.00000,0.00008,
90,8.00000,0.00008,
90,8.00000,0.00008,
90,8.00000,0.00008,
90,8.00000,0.00008,
90,8.00000,0.00008,
90,8.00000,0.00008,
90,8.00000,0.00008,
90,8.00000,0.00008,
90,9.00000,0.00008,
90,8.00000,0.00008,
90,9.00000,0.00008,
91,8.00000,0.00009,
91,9.00000,0.00009,
91,9.00000,0.00009,
91,8.00000,0.00009,
91,9.00000,0.00009,
91,9.00000,0.00009,
91,9.00000,0.00009,
91,9.00000,0.00009,
91,9.00000,0.00009,
91,10.00000,0.00009,
91,9.00000,0.00009,
91,10.00000,0.00009,
91,9.00000,0.00009,
91,10.00000,0.00009,
92,10.00000,0.00011,
92,10.00000,0.00011,
92,9.00000,0.00011,
92,10.00000,0.00011,
93,10.00000,0.00013,
92,10.00000,0.00011,
92,10.00000,0.00011,
92,10.00000,0.00011,
92,11.00000,0.00011,
92,10.00000,0.00011,
92,10.00000,0.00011,
92,10.00000,0.00011,
92,10.00000,0.00011,
92,11.00000,0.00011,
92,11.00000,0.00011,
93,11.00000,0.00013,
93,11.00000,0.00013,
93,11.00000,0.00013,
93,11.00000,0.00013,
93,12.00000,0.00013,
93,11.00000,0.00013,
93,12.00000,0.00013,
94,12.00000,0.00015,
93,12.00000,0.00013,
94,12.00000,0.00015,
93,12.00000,0.00013,
94,12.00000,0.00015,
94,12.00000,0.00015,
94,12.00000,0.00015,
94,12.00000,0.00015,
94,13.00000,0.00015,
94,13.00000,0.00015,
94,13.00000,0.00015,
94,13.00000,0.00015,
94,13.00000,0.00015,
94,13.00000,0.00015,
94,13.00000,0.00015,
94,13.00000,0.00015,
95,13.00000,0.00018,
95,13.00000,0.00018,
96,13.00000,0.00022,
96,14.00000,0.00022,
96,14.00000,0.00022,
96,14.00000,0.00022,
96,14.00000,0.00022,
95,15.00000,0.00018,
96,14.00000,0.00022,
96,15.00000,0.00022,
96,15.00000,0.00022,
95,15.00000,0.00018,
96,15.00000,0.00022,
96,15.00000,0.00022,
96,15.00000,0.00022,
97,16.00000,0.00026,
97,15.00000,0.00026,
97,16.00000,0.00026,
97,16.00000,0.00026,
96,16.00000,0.00022,
96,16.00000,0.00022,
96,16.00000,0.00022,
96,16.00000,0.00022,
96,16.00000,0.00022,
97,16.00000,0.00026,
97,16.00000,0.00026,
97,17.00000,0.00026,
97,16.00000,0.00026,
97,16.00000,0.00026,
97,17.00000,0.00026,
97,17.00000,0.00026,
97,17.00000,0.00026,
97,17.00000,0.00026,
97,17.00000,0.00026,
98,18.00000,0.00031,
97,17.00000,0.00026,
97,18.00000,0.00026,
98,17.00000,0.00031,
98,18.00000,0.00031,
98,19.00000,0.00031,
99,19.00000,0.00036,
99,19.00000,0.00036,
98,19.00000,0.00031,
99,19.00000,0.00036,
99,19.00000,0.00036,
99,19.00000,0.00036,
98,19.00000,0.00031,
99,19.00000,0.00036,
99,20.00000,0.00036,
99,19.00000,0.00036,
99,19.00000,0.00036,
99,20.00000,0.00036,
99,20.00000,0.00036,
99,19.00000,0.00036,
99,19.00000,0.00036,
99,20.00000,0.00036,
99,20.00000,0.00036,
99,20.00000,0.00036,
99,20.00000,0.00036,
99,20.00000,0.00036,
99,20.00000,0.00036,
99,20.00000,0.00036,
99,20.00000,0.00036,
100,21.00000,0.00043,
100,20.00000,0.00043,
100,21.00000,0.00043,
101,22.00000,0.00050,
101,21.00000,0.00050,
101,21.00000,0.00050,
100,22.00000,0.00043,
100,22.00000,0.00043,
100,22.00000,0.00043,
100,22.00000,0.00043,
100,22.00000,0.00043,
100,23.00000,0.00043,
100,23.00000,0.00043,
101,23.00000,0.00050,
101,23.00000,0.00050,
