temp,count_original,count_0,count_1,
28,0.00000,0.00000,nan,
28,0.00000,0.00000,nan,
29,0.00000,0.00000,nan,
28,0.00000,0.00000,nan,
28,0.00000,0.00000,nan,
28,0.00000,0.00000,nan,
28,0.00000,0.00000,nan,
28,0.00000,0.00000,nan,
28,0.00000,0.00000,nan,
28,0.00000,0.00000,nan,
28,0.00000,0.00000,nan,
28,0.00000,0.00000,nan,
29,0.00000,0.00000,nan,
28,0.00000,0.00000,nan,
28,0.00000,0.00000,nan,
28,0.00000,0.00000,nan,
28,0.00000,0.00000,nan,
28,0.00000,0.00000,nan,
29,0.00000,0.00000,nan,
30,0.00000,0.00000,nan,
31,0.00000,0.00000,nan,
33,0.00000,0.00000,nan,
34,0.00000,0.00000,nan,
35,0.00000,0.00000,nan,
36,0.00000,0.00000,nan,
38,0.00000,0.00000,nan,
40,0.00000,0.00000,nan,
41,0.00000,0.00000,nan,
43,0.00000,0.00000,nan,
45,0.00000,0.00000,nan,
46,0.00000,0.00000,nan,
48,0.00000,0.00000,nan,
49,0.00000,0.00000,nan,
51,0.00000,0.00000,nan,
53,0.00000,0.00000,nan,
55,0.00000,0.00000,nan,
57,0.00000,0.00000,nan,
57,0.00000,0.00000,nan,
59,0.00000,0.00000,nan,
61,1.00000,0.00000,nan,
62,0.00000,0.00000,nan,
64,0.00000,0.00000,nan,
66,0.00000,0.00000,nan,
67,0.00000,0.00000,nan,
69,1.00000,0.00000,nan,
70,0.00000,0.00000,nan,
72,1.00000,0.00000,nan,
73,0.00000,0.00000,nan,
75,1.00000,0.00000,nan,
77,0.00000,0.00000,nan,
78,1.00000,0.00000,nan,
79,0.00000,0.00000,nan,
80,1.00000,0.00000,nan,
80,0.00000,0.00000,nan,
80,0.00000,0.00000,nan,
80,1.00000,0.00000,nan,
81,0.00000,0.00000,nan,
81,1.00000,0.00000,nan,
81,0.00000,0.00000,nan,
81,1.00000,0.00000,nan,
81,0.00000,0.00000,nan,
81,0.00000,0.00000,nan,
82,1.00000,0.00000,nan,
82,0.00000,0.00000,nan,
82,1.00000,0.00000,nan,
82,0.00000,0.00000,nan,
82,0.00000,0.00000,nan,
82,0.00000,0.00000,nan,
82,0.00000,0.00000,nan,
82,1.00000,0.00000,nan,
82,0.00000,0.00000,nan,
82,0.00000,0.00000,nan,
82,0.00000,0.00000,nan,
82,0.00000,0.00000,nan,
82,1.00000,0.00000,nan,
82,0.00000,0.00000,nan,
83,1.00000,0.00000,nan,
83,0.00000,0.00000,nan,
83,1.00000,0.00000,nan,
