barcode,temp,Count
N1100   ,35.33,1.7306230589874898
N1100   ,35.89,1.7154508497187466
N1100   ,35.59,1.675729490168751
N1100   ,35.73,1.6266311896062458
N1100   ,35.82,1.5869098300562503
N1100   ,35.88,1.571737620787507
N1100   ,35.59,1.58690983005625
N1100   ,36.06,1.6266311896062455
N1100   ,36.7,1.6757294901687512
N1100   ,38.14,1.7154508497187464
N1100   ,39.09,1.7306230589874898
N1100   ,39.73,1.7154508497187466
N1100   ,41.15,1.6752786404500037
N1100   ,41.77,1.6246352549156236
N1100   ,44.51,1.5819959346906214
N1100   ,44.01,1.5619630456468803
N1100   ,43.67,1.5696023658718827
N1100   ,43.78,1.5998606797749975
N1100   ,43.85,1.6399467844093687
N1100   ,44.24,1.6728647450843752
N1100   ,44.49,1.6830901699437488
N1100   ,44.66,1.6628976341281163
N1100   ,44.44,1.6153115294937448
N1100   ,44.96,1.5525532155906299
N1100   ,45.64,1.4918237254218785
N1100   ,45.76,1.4502254248593731
N1100   ,46.51,1.4398277907312564
N1100   ,47.0,1.4637867710687593
N1100   ,47.34,1.5158155948031227
N1100   ,45.89,1.5833155948031228
N1100   ,46.93,1.6515983005625048
N1100   ,47.28,1.7081762745781202
N1100   ,47.52,1.746352549156242
N1100   ,48.35,1.7664589803375026
N1100   ,48.57,1.774045084971874
N1100   ,49.04,1.77562305898749
N1100   ,49.36,1.77440983005625
N1100   ,50.24,1.7690983005625047
N1100   ,51.16,1.756127124296868
N1100   ,51.11,1.7335410196624963
N1100   ,49.74,1.7036474508437571
N1100   ,50.49,1.672725424859373
N1100   ,50.99,1.6480369543531184
N1100   ,52.0,1.633872875703131
N1100   ,52.66,1.6300532155906302
N1100   ,53.11,1.63376644452187
N1100   ,53.41,1.6422745751406256
N1100   ,53.94,1.6544630456468807
N1100   ,54.29,1.6704508497187467
N1100   ,54.53,1.6897213595499954
N1100   ,55.35,1.7099138953656277
N1100   ,55.9,1.7272745751406258
N1100   ,56.27,1.738401699437494
N1100   ,56.18,1.7424999999999993
N1100   ,56.79,1.7418237254218787
N1100   ,56.52,1.7404508497187468
N1100   ,57.02,1.7427254248593729
N1100   ,57.68,1.7519630456468804
N1100   ,58.45,1.7705040653093773
N1100   ,58.63,1.8002254248593728
N1100   ,58.42,1.8416844051968762
N1100   ,59.28,1.8930040653093774
N1100   ,59.85,1.9499999999999993
N1100   ,60.24,2.006995934690621
