barcode,temp,Count
N1042   ,34.67,1.449270509831248
N1042   ,35.44,1.4572745751406257
N1042   ,35.3,1.478229490168751
N1042   ,35.53,1.5041311896062457
N1042   ,35.69,1.525086104634371
N1042   ,35.79,1.5330901699437487
N1042   ,35.53,1.5250861046343713
N1042   ,36.02,1.5041311896062455
N1042   ,36.68,1.478229490168751
N1042   ,38.12,1.4572745751406255
N1042   ,39.08,1.449270509831248
N1042   ,39.72,1.4572745751406257
N1042   ,41.15,1.477778640450004
N1042   ,41.76,1.5028647450843753
N1042   ,44.51,1.5254508497187467
N1042   ,44.01,1.5424999999999993
N1042   ,43.67,1.5547745751406257
N1042   ,43.78,1.564860679774997
N1042   ,43.85,1.574860679774997
N1042   ,44.24,1.5851393202250015
N1042   ,44.49,1.595868810393753
N1042   ,44.66,1.6097745751406256
N1042   ,44.44,1.631770509831248
N1042   ,44.96,1.6649999999999991
N1042   ,45.64,1.7063196601125004
N1042   ,45.76,1.7449467844093687
N1042   ,46.51,1.7664918693812435
N1042   ,47.0,1.7597745751406255
N1042   ,47.34,1.7229508497187467
N1042   ,45.89,1.6659016994374944
N1042   ,46.93,1.6058688103937528
N1042   ,47.28,1.5596884705062541
N1042   ,47.52,1.5385942352531268
N1042   ,48.35,1.5467376207875068
N1042   ,48.57,1.58255321559063
N1042   ,49.04,1.6409549150281248
N1042   ,49.36,1.7134549150281249
N1042   ,50.24,1.787221359549995
N1042   ,51.16,1.8457623792124918
N1042   ,51.11,1.8722213595499955
N1042   ,49.74,1.8559016994374942
N1042   ,50.49,1.7980369543531183
N1042   ,50.99,1.7117705098312481
N1042   ,52.0,1.617274575140626
N1042   ,52.66,1.5349138953656278
N1042   ,53.11,1.4790983005625047
N1042   ,53.41,1.4552786404500038
N1042   ,53.94,1.4602786404500037
N1042   ,54.29,1.484549150281252
N1042   ,54.53,1.5158155948031224
N1042   ,55.35,1.5427254248593731
N1042   ,55.9,1.5574999999999994
N1042   ,56.27,1.5583155948031227
N1042   ,56.18,1.5496352549156236
N1042   ,56.79,1.53940983005625
N1042   ,56.52,1.534999999999999
N1042   ,57.02,1.53940983005625
N1042   ,57.68,1.5496352549156236
N1042   ,58.45,1.5583155948031227
N1042   ,58.63,1.5574999999999994
N1042   ,58.42,1.5427254248593734
N1042   ,59.28,1.5158155948031224
N1042   ,59.85,1.484549150281252
N1042   ,60.24,1.4595491502812519
N1042   ,60.82,1.4499999999999995
N1042   ,60.88,1.459549150281252
N1042   ,60.92,1.4849138953656278
N1042   ,61.61,1.5180901699437488
N1042   ,61.41,1.550225424859373
N1042   ,62.27,1.5749999999999993
N1042   ,62.18,1.590225424859373
N1042   ,62.12,1.5973606797749973
N1042   ,62.41,1.5992705098312479
N1042   ,63.28,1.5973606797749973
N1042   ,64.85,1.5902254248593732
N1042   ,64.9,1.5749999999999995
N1042   ,64.6,1.5502254248593732
