temp,count_original,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,count_8,count_9,
84.04000,1.02514,0.00000,0.00000,0.18634,0.29961,0.00000,0.00000,0.00000,0.00000,0.48595,1.02514,
84.02000,1.03354,0.00000,0.00000,0.18599,0.29871,0.00000,0.00000,0.00000,0.00000,0.48470,1.03354,
84.02000,1.01554,0.00000,0.00000,0.18599,0.29871,0.00000,0.00000,0.00000,0.00000,0.48470,1.01554,
84.01000,0.97464,0.00000,0.00000,0.18582,0.29826,0.00000,0.00000,0.00000,0.00000,0.48408,0.97464,
84.34000,0.92227,0.00000,0.00000,0.19158,0.31347,0.00000,0.00000,0.00000,0.00000,0.50505,0.92227,
84.56000,0.87250,0.00000,0.00000,0.19551,0.32402,0.00000,0.00000,0.00000,0.00000,0.51953,0.87250,
84.71000,0.83705,0.00000,0.00000,0.19823,0.33141,0.00000,0.00000,0.00000,0.00000,0.52964,0.83705,
84.80000,0.82219,0.00000,0.00000,0.19988,0.33591,0.00000,0.00000,0.00000,0.00000,0.53580,0.82219,
85.20000,0.82837,0.00000,0.00000,0.20738,0.35666,0.00000,0.00000,0.00000,0.00000,0.56404,0.82837,
85.14000,0.85278,0.00000,0.00000,0.20624,0.35347,0.00000,0.00000,0.00000,0.00000,0.55971,0.85278,
85.42000,0.89168,0.00000,0.00000,0.21161,0.36857,0.00000,0.00000,0.00000,0.00000,0.58019,0.89168,
85.28000,0.94009,0.00000,0.00000,0.20891,0.36095,0.00000,0.00000,0.00000,0.00000,0.56986,0.94009,
85.52000,0.99023,0.00000,0.00000,0.21356,0.37412,0.00000,0.00000,0.00000,0.00000,0.58768,0.99023,
86.01000,1.03264,0.00000,0.00000,0.22337,0.40243,0.00000,0.00000,0.00000,0.00000,0.62580,1.03264,
86.01000,1.06082,0.00000,0.00000,0.22337,0.40243,0.00000,0.00000,0.00000,0.00000,0.62580,1.06082,
86.01000,1.07509,0.00000,0.00000,0.22337,0.40243,0.00000,0.00000,0.00000,0.00000,0.62580,1.07509,
86.00000,1.08191,0.00000,0.00000,0.22317,0.40183,0.00000,0.00000,0.00000,0.00000,0.62500,1.08191,
86.00000,1.09014,0.00000,0.00000,0.22317,0.40183,0.00000,0.00000,0.00000,0.00000,0.62500,1.09014,
86.34000,1.10691,0.00000,0.00000,0.23021,0.42262,0.00000,0.00000,0.00000,0.00000,0.65283,1.10691,
86.56000,1.13464,0.00000,0.00000,0.23488,0.43661,0.00000,0.00000,0.00000,0.00000,0.67149,1.13464,
86.70000,1.17073,0.00000,0.00000,0.23789,0.44574,0.00000,0.00000,0.00000,0.00000,0.68363,1.17073,
86.80000,1.20991,0.00000,0.00000,0.24007,0.45237,0.00000,0.00000,0.00000,0.00000,0.69244,1.20991,
86.87000,1.24773,0.00000,0.00000,0.24160,0.45706,0.00000,0.00000,0.00000,0.00000,0.69867,1.24773,
86.91000,1.28259,0.00000,0.00000,0.24248,0.45977,0.00000,0.00000,0.00000,0.00000,0.70225,1.28259,
86.94000,1.31441,0.00000,0.00000,0.24315,0.46181,0.00000,0.00000,0.00000,0.00000,0.70495,1.31441,
86.96000,1.34250,0.00000,0.00000,0.24359,0.46317,0.00000,0.00000,0.00000,0.00000,0.70676,1.34250,
87.31000,1.36582,0.00000,0.00000,0.25146,0.48765,0.00000,0.00000,0.00000,0.00000,0.73911,1.36582,
87.20000,1.38441,0.00000,0.00000,0.24896,0.47983,0.00000,0.00000,0.00000,0.00000,0.72879,1.38441,
87.14000,1.39964,0.00000,0.00000,0.24761,0.47561,0.00000,0.00000,0.00000,0.00000,0.72322,1.39964,
