temp,count_original,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,
82.49000,2.28559,0.00000,4.22770,0.36685,0.00000,0.00000,0.00000,4.59456,2.28559,
82.33000,2.38396,0.00000,4.19210,0.35695,0.00000,0.00000,0.00000,4.54906,2.38396,
82.55000,2.49514,0.00000,4.24111,0.37063,0.00000,0.00000,0.00000,4.61175,2.49514,
82.37000,2.60641,0.00000,4.20098,0.35940,0.00000,0.00000,0.00000,4.56038,2.60641,
82.58000,2.70641,0.00000,4.24783,0.37254,0.00000,0.00000,0.00000,4.62038,2.70641,
82.72000,2.78745,0.00000,4.27932,0.38155,0.00000,0.00000,0.00000,4.66088,2.78745,
82.48000,2.84517,0.00000,4.22547,0.36623,0.00000,0.00000,0.00000,4.59170,2.84517,
82.65000,2.87663,0.00000,4.26355,0.37702,0.00000,0.00000,0.00000,4.64058,2.87663,
82.77000,2.88068,0.00000,4.29061,0.38482,0.00000,0.00000,0.00000,4.67544,2.88068,
82.85000,2.86045,0.00001,4.30874,0.39011,0.00000,0.00000,0.00000,4.69885,2.86045,
82.90000,2.82441,0.00001,4.32010,0.39345,0.00000,0.00000,0.00000,4.71356,2.82441,
82.93000,2.78536,0.00001,4.32693,0.39547,0.00000,0.00000,0.00000,4.72240,2.78536,
83.62000,2.75741,0.00001,4.48657,0.44471,0.00000,0.00000,0.00000,4.93129,2.75741,
84.08000,2.75087,0.00001,4.59579,0.48076,0.00000,0.00000,0.00000,5.07655,2.75087,
84.05000,2.76809,0.00001,4.58860,0.47832,0.00000,0.00000,0.00000,5.06693,2.76809,
84.04000,2.80337,0.00001,4.58620,0.47751,0.00000,0.00000,0.00000,5.06372,2.80337,
84.02000,2.84733,0.00001,4.58141,0.47590,0.00000,0.00000,0.00000,5.05732,2.84733,
84.02000,2.89368,0.00001,4.58141,0.47590,0.00000,0.00000,0.00000,5.05732,2.89368,
84.01000,2.94273,0.00001,4.57902,0.47510,0.00000,0.00000,0.00000,5.05412,2.94273,
84.34000,2.99910,0.00001,4.65852,0.50236,0.00000,0.00000,0.00000,5.16088,2.99910,
84.56000,3.06727,0.00001,4.71217,0.52136,0.00000,0.00000,0.00000,5.23354,3.06727,
