temp,count_original,count_0,count_1,count_2,count_3,count_4,count_5,
65.83000,1.66932,1.79767,0.00001,0.00000,0.00000,1.79768,1.66932,
66.22000,1.69068,1.80256,0.00001,0.00000,0.00000,1.80257,1.69068,
67.15000,1.70795,1.81423,0.00001,0.00000,0.00000,1.81424,1.70795,
67.77000,1.71455,1.82202,0.00001,0.00000,0.00000,1.82203,1.71455,
67.84000,1.70795,1.82290,0.00001,0.00000,0.00000,1.82291,1.70795,
67.90000,1.69068,1.82365,0.00001,0.00000,0.00000,1.82366,1.69068,
68.26000,1.66932,1.82818,0.00001,0.00000,0.00000,1.82820,1.66932,
68.18000,1.65241,1.82718,0.00001,0.00000,0.00000,1.82719,1.65241,
68.45000,1.64773,1.83058,0.00001,0.00000,0.00000,1.83059,1.64773,
69.30000,1.65882,1.84129,0.00002,0.00000,0.00000,1.84131,1.65882,
69.53000,1.68264,1.84420,0.00002,0.00000,0.00000,1.84421,1.68264,
70.02000,1.71059,1.85039,0.00002,0.00000,0.00000,1.85040,1.71059,
70.01000,1.73273,1.85026,0.00002,0.00000,0.00000,1.85028,1.73273,
70.68000,1.74309,1.85873,0.00002,0.00000,0.00000,1.85875,1.74309,
71.12000,1.74286,1.86431,0.00002,0.00000,0.00000,1.86433,1.74286,
71.75000,1.73941,1.87229,0.00002,0.00000,0.00000,1.87232,1.73941,
71.50000,1.74214,1.86912,0.00002,0.00000,0.00000,1.86915,1.74214,
72.33000,1.75764,1.87966,0.00003,0.00000,0.00000,1.87969,1.75764,
72.89000,1.78646,1.88678,0.00003,0.00000,0.00000,1.88681,1.78646,
72.59000,1.82332,1.88296,0.00003,0.00000,0.00000,1.88299,1.82332,
73.73000,1.86059,1.89748,0.00003,0.00000,0.00000,1.89751,1.86059,
74.15000,1.89205,1.90283,0.00004,0.00000,0.00000,1.90287,1.89205,
74.77000,1.91545,1.91075,0.00004,0.00000,0.00000,1.91079,1.91545,
74.51000,1.93295,1.90743,0.00004,0.00000,0.00000,1.90747,1.93295,
75.34000,1.94896,1.91804,0.00005,0.00000,0.00000,1.91808,1.94896,
75.23000,1.96714,1.91663,0.00005,0.00000,0.00000,1.91668,1.96714,
75.49000,1.98781,1.91996,0.00005,0.00000,0.00000,1.92000,1.98781,
