                       Research (Cts/Temp.) Glow Curve,,
,,
File Name:        R&D-Quest4TTP 29,,
Date & Time:     6/25/2018 1:38:25 PM,,
,,
,Temperature,Counts
605,173,90
606,173,90
607,174,91
608,173,91
609,173,91
610,174,91
611,174,91
612,174,92
613,175,92
614,175,92
615,175,93
616,175,93
617,175,93
618,176,94
619,176,94
620,176,95
621,176,96
622,176,95
623,176,96
624,176,96
625,177,97
626,177,98
627,177,99
628,177,100
629,177,100
630,177,101
631,177,102
632,178,102
633,178,101
634,178,102
635,178,103
636,178,104
637,179,104
638,178,104
639,179,105
640,179,106
641,179,107
642,179,108
643,179,109
644,180,110
645,179,112
646,180,111
647,180,111
648,180,112
649,181,113
650,181,114
651,181,114
652,181,116
653,182,116
654,182,118
655,182,118
656,182,119
657,182,119
658,182,120
659,182,121
660,183,121
661,183,122
662,183,124
663,183,124
664,183,126
665,183,126
666,183,128
667,184,128
668,183,129
669,184,129
670,184,130
671,184,131
672,184,132
673,185,133
674,185,135
675,185,137
676,185,137
677,185,139
678,186,139
679,185,139
680,186,140
681,186,141
682,186,142
683,187,142
684,187,144
685,187,144
686,187,144
687,187,145
688,187,145
689,187,146
690,187,147
691,187,147
692,187,148
693,187,149
694,188,150
695,188,151
696,189,152
697,189,152
698,189,152
699,189,153
700,189,154
701,190,156
702,189,157
703,189,157
704,190,157
705,190,158
706,190,159
707,190,160
708,191,159
709,191,160
710,191,160
711,191,160
712,192,161
713,191,162
714,192,163
715,192,163
716,192,163
717,192,164
718,192,164
719,193,165
720,193,165
721,192,165
722,193,166
723,193,167
724,193,167
725,193,168
726,193,168
727,194,169
728,194,170
729,194,171
730,194,171
731,194,171
732,194,171
733,195,171
734,195,170
735,195,171
736,195,171
737,195,172
738,196,172
739,196,174
740,196,173
741,196,172
742,197,173
743,196,174
744,197,174
745,197,175
746,197,175
747,197,176
748,197,176
749,197,177
750,198,177
751,198,179
752,198,179
753,199,180
754,199,181
755,199,181
756,199,181
757,199,180
758,200,181
759,200,182
760,200,183
761,200,184
762,200,186
763,200,186
764,201,187
765,200,188
766,200,190
767,200,191
768,200,192
769,200,193
770,201,195
771,201,196
772,202,196
773,202,197
774,202,198
775,202,200
776,202,202
777,202,204
778,203,205
779,203,207
780,203,208
781,203,210
782,203,212
783,203,214
784,204,216
785,204,217
786,204,217
787,204,219
788,204,220
789,204,223
790,204,225
791,205,226
792,205,228
793,205,230
794,205,231
795,205,234
796,205,237
797,206,238
798,206,240
799,206,241
800,206,243
801,206,244
802,207,247
803,207,251
804,207,253
805,207,255
806,207,259
807,208,261
808,207,261
809,208,263
810,208,266
811,208,269
812,208,270
813,208,274
814,208,275
815,208,279
816,209,282
817,209,283
818,209,284
819,209,286
820,209,289
821,209,290
822,210,291
823,210,293
824,210,295
825,210,295
826,211,297
827,210,299
828,211,300
829,211,301
830,211,301
831,212,304
832,212,304
833,212,304
834,212,304
835,212,305
836,213,305
837,213,305
838,213,305
839,212,306
840,213,305
841,213,304
842,213,305
843,214,304
844,213,302
845,213,302
846,214,302
847,214,301
848,214,300
849,215,297
850,215,296
851,215,294
852,215,292
853,215,290
854,215,290
855,215,286
856,216,285
857,216,283
858,216,281
859,217,279
860,216,276
861,217,273
862,217,269
863,217,269
864,217,264
865,218,260
866,217,258
