                       Research (Cts/Temp.) Glow Curve,,,
,,,
File Name:        R&D-Quest4TTP 45,,,
Date & Time:     6/25/2018 1:45:54 PM,,,
,,,
,Temperature,Counts,Int. Counts
,106,1,
,107,2,
,109,2,
,109,2,
,111,2,
,111,2,
,112,3,
,114,3,
,115,4,
,116,4,
,117,5,
,118,6,
,118,6,
,119,7,
,120,8,
,121,9,
,122,10,
,123,12,
,124,13,
,125,16,
,125,17,
,127,20,
,128,22,
,129,25,
,130,28,
,131,31,
,132,35,
,133,39,
,134,44,
,135,49,
,136,55,
,137,61,
,138,68,
,139,76,
,140,84,
,141,93,
,142,103,
,144,113,
,144,123,
,145,135,
,146,147,
,147,160,
,148,173,
,149,189,
,150,204,
,151,218,
,152,233,
,153,246,
,154,261,
,155,273,
,156,288,
,158,299,
,159,308,
,160,315,
,160,321,
,162,325,
,162,326,
,163,324,
,164,320,
,165,312,
,166,303,
,167,293,
,168,281,
,170,269,
,170,259,
,171,246,
,172,236,
,173,228,
,174,225,
,175,221,
,176,223,
,177,227,
,178,233,
,179,241,
,180,252,
,181,266,
,182,283,
,183,303,
,184,325,
,185,348,
,186,371,
,187,398,
,188,421,
,189,452,
,190,478,
,191,509,
,192,536,
,193,565,
,194,591,
,195,618,
,196,643,
,197,659,
,198,683,
,199,699,
,200,711,
,201,723,
,202,730,
,203,734,
,204,733,
,205,730,
,206,725,
,207,723,
,208,721,
,209,716,
,210,714,
,211,714,
,212,713,
,213,719,
,214,727,
,215,736,
,216,751,
,217,768,
,218,787,
,219,809,
,220,831,
,221,853,
,222,882,
,223,907,
,224,932,
,225,958,
,226,984,
,227,1001,
,229,1028,
,229,1047,
,230,1065,
,231,1080,
,232,1099,
,233,1111,
,234,1125,
,235,1135,
,236,1144,
,237,1157,
,238,1167,
,239,1177,
,240,1194,
,241,1210,
,242,1232,
,243,1255,
,244,1281,
,245,1310,
,246,1342,
,247,1377,
,249,1403,
,249,1429,
,250,1458,
,251,1473,
,252,1479,
,253,1471,
,254,1457,
,255,1426,
,256,1379,
,257,1323,
,258,1254,
,259,1170,
,259,1075,
,259,969,
,260,860,
,260,751,
,260,645,
,260,547,
,260,456,
,260,375,
,260,305,
,260,247,
,260,197,
,260,157,
,260,126,
,260,102,
,261,84,
,260,69,
,261,59,
,260,51,
