                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  2 Data Points per Second

File Name:        R&D-033019-jackT-group4-2 1
Date & Time:     3/30/2019 2:20:52 PM

Sample No.,Barcode,Time ( .5s),Temperature,
Counts
 1 ,---     , 0 ,28.00,2
 1 ,---     , 0.5 ,30.00,1
 1 ,---     , 1 ,31.00,4
 1 ,---     , 1.5 ,32.00,1
 1 ,---     , 2 ,32.33,2
 1 ,---     , 2.5 ,32.56,1
 1 ,---     , 3 ,33.04,2
 1 ,---     , 3.5 ,33.02,2
 1 ,---     , 4 ,33.02,4
 1 ,---     , 4.5 ,34.34,2
 1 ,---     , 5 ,36.23,2
 1 ,---     , 5.5 ,37.82,2
 1 ,---     , 6 ,38.88,1
 1 ,---     , 6.5 ,39.92,2
 1 ,---     , 7 ,40.28,1
 1 ,---     , 7.5 ,40.85,1
 1 ,---     , 8 ,41.90,2
 1 ,---     , 8.5 ,42.60,3
 1 ,---     , 9 ,43.07,1
 1 ,---     , 9.5 ,43.38,1
 1 ,---     , 10 ,43.92,2
 1 ,---     , 10.5 ,44.28,1
 1 ,---     , 11 ,44.19,2
 1 ,---     , 11.5 ,44.46,1
 1 ,---     , 12 ,44.97,1
 1 ,---     , 12.5 ,45.31,2
 1 ,---     , 13 ,45.88,1
 1 ,---     , 13.5 ,45.92,2
 1 ,---     , 14 ,45.95,1
 1 ,---     , 14.5 ,46.96,2
 1 ,---     , 15 ,47.31,2
 1 ,---     , 15.5 ,47.21,1
 1 ,---     , 16 ,47.80,2
 1 ,---     , 16.5 ,48.20,1
 1 ,---     , 17 ,48.14,2
 1 ,---     , 17.5 ,49.09,1
 1 ,---     , 18 ,49.73,2
 1 ,---     , 18.5 ,50.15,1
 1 ,---     , 19 ,50.77,1
 1 ,---     , 19.5 ,51.18,1
 1 ,---     , 20 ,51.45,2
 1 ,---     , 20.5 ,51.97,1
 1 ,---     , 21 ,51.98,2
 1 ,---     , 21.5 ,52.65,1
 1 ,---     , 22 ,52.77,2
 1 ,---     , 22.5 ,52.85,2
 1 ,---     , 23 ,53.23,1
 1 ,---     , 23.5 ,53.82,2
 1 ,---     , 24 ,54.21,2
 1 ,---     , 24.5 ,54.48,1
 1 ,---     , 25 ,54.65,2
 1 ,---     , 25.5 ,55.43,2
 1 ,---     , 26 ,55.96,1
 1 ,---     , 26.5 ,55.64,2
 1 ,---     , 27 ,56.09,4
 1 ,---     , 27.5 ,56.39,1
 1 ,---     , 28 ,56.93,2
 1 ,---     , 28.5 ,57.29,1
 1 ,---     , 29 ,57.19,2
 1 ,---     , 29.5 ,57.79,1
 1 ,---     , 30 ,57.86,2
 1 ,---     , 30.5 ,58.24,1
 1 ,---     , 31 ,58.49,1
 1 ,---     , 31.5 ,59.00,2
 1 ,---     , 32 ,60.00,1
 1 ,---     , 32.5 ,60.33,2
 1 ,---     , 33 ,60.89,1
 1 ,---     , 33.5 ,61.26,2
 1 ,---     , 34 ,61.84,2
 1 ,---     , 34.5 ,61.89,1
 1 ,---     , 35 ,62.26,3
 1 ,---     , 35.5 ,62.51,2
 1 ,---     , 36 ,62.01,1
 1 ,---     , 36.5 ,62.34,2
 1 ,---     , 37 ,62.89,1
 1 ,---     , 37.5 ,63.26,1
 1 ,---     , 38 ,63.84,2
 1 ,---     , 38.5 ,64.23,2
 1 ,---     , 39 ,64.48,1
 1 ,---     , 39.5 ,64.99,1
 1 ,---     , 40 ,65.33,2
 1 ,---     , 40.5 ,66.22,2
 1 ,---     , 41 ,66.48,1
 1 ,---     , 41.5 ,67.32,2
 1 ,---     , 42 ,67.55,1
 1 ,---     , 42.5 ,67.70,2
 1 ,---     , 43 ,67.80,1
 1 ,---     , 43.5 ,68.20,2
 1 ,---     , 44 ,68.80,1
 1 ,---     , 44.5 ,69.87,1
 1 ,---     , 45 ,69.91,2
 1 ,---     , 45.5 ,69.94,1
 1 ,---     , 46 ,70.29,1
 1 ,---     , 46.5 ,70.86,2
 1 ,---     , 47 ,71.24,1
 1 ,---     , 47.5 ,71.16,2
 1 ,---     , 48 ,71.11,1
 1 ,---     , 48.5 ,71.40,1
 1 ,---     , 49 ,71.60,2
 1 ,---     , 49.5 ,72.07,2
 1 ,---     , 50 ,72.71,3
 1 ,---     , 50.5 ,73.48,3
 1 ,---     , 51 ,73.98,2
 1 ,---     , 51.5 ,73.99,2
 1 ,---     , 52 ,73.99,2
 1 ,---     , 52.5 ,74.66,1
 1 ,---     , 53 ,75.11,2
 1 ,---     , 53.5 ,75.74,1
 1 ,---     , 54 ,76.16,3
 1 ,---     , 54.5 ,76.44,1
 1 ,---     , 55 ,76.63,2
 1 ,---     , 55.5 ,76.75,2
 1 ,---     , 56 ,77.50,1
 1 ,---     , 56.5 ,78.00,2
 1 ,---     , 57 ,78.33,2
 1 ,---     , 57.5 ,78.22,1
 1 ,---     , 58 ,78.48,2
 1 ,---     , 58.5 ,78.65,2
 1 ,---     , 59 ,79.10,2
 1 ,---     , 59.5 ,79.40,1
 1 ,---     , 60 ,79.60,1
 1 ,---     , 60.5 ,80.40,2
 1 ,---     , 61 ,81.93,2
 1 ,---     , 61.5 ,81.96,2
 1 ,---     , 62 ,82.30,1
 1 ,---     , 62.5 ,82.87,1
 1 ,---     , 63 ,82.91,2
 1 ,---     , 63.5 ,82.94,1
 1 ,---     , 64 ,82.96,2
 1 ,---     , 64.5 ,83.31,2
 1 ,---     , 65 ,83.54,3
 1 ,---     , 65.5 ,83.69,2
 1 ,---     , 66 ,84.46,1
 1 ,---     , 66.5 ,84.97,1
 1 ,---     , 67 ,85.32,2
 1 ,---     , 67.5 ,85.88,1
 1 ,---     , 68 ,86.25,2
 1 ,---     , 68.5 ,86.50,2
 1 ,---     , 69 ,86.33,1
 1 ,---     , 69.5 ,86.89,1
 1 ,---     , 70 ,87.59,2
 1 ,---     , 70.5 ,87.73,1
 1 ,---     , 71 ,88.15,2
 1 ,---     , 71.5 ,88.77,2
 1 ,---     , 72 ,89.18,2
 1 ,---     , 72.5 ,89.45,1
 1 ,---     , 73 ,89.97,2
 1 ,---     , 73.5 ,90.31,2
 1 ,---     , 74 ,90.87,1
 1 ,---     , 74.5 ,90.92,1
 1 ,---     , 75 ,91.28,3
 1 ,---     , 75.5 ,91.85,2
 1 ,---     , 76 ,91.90,2
 1 ,---     , 76.5 ,92.27,2
 1 ,---     , 77 ,92.84,1
 1 ,---     , 77.5 ,92.90,2
 1 ,---     , 78 ,93.26,2
 1 ,---     , 78.5 ,93.84,2
 1 ,---     , 79 ,94.23,2
 1 ,---     , 79.5 ,94.49,2
 1 ,---     , 80 ,95.32,1
 1 ,---     , 80.5 ,95.55,1
 1 ,---     , 81 ,96.03,2
 1 ,---     , 81.5 ,96.02,2
