                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  2 Data Points per Second

File Name:        R&D-033019-jackT-group4-2 2
Date & Time:     3/30/2019 2:20:52 PM

Sample No.,Barcode,Time ( .5s),Temperature,
Counts
 2 ,N1124   , 70 ,87.59,5
 2 ,N1124   , 70.5 ,87.73,4
 2 ,N1124   , 71 ,88.15,8
 2 ,N1124   , 71.5 ,88.77,5
 2 ,N1124   , 72 ,89.18,4
 2 ,N1124   , 72.5 ,89.45,4
 2 ,N1124   , 73 ,89.97,6
 2 ,N1124   , 73.5 ,90.31,4
 2 ,N1124   , 74 ,90.87,6
 2 ,N1124   , 74.5 ,90.92,5
 2 ,N1124   , 75 ,91.28,6
 2 ,N1124   , 75.5 ,91.85,6
 2 ,N1124   , 76 ,91.90,5
 2 ,N1124   , 76.5 ,92.27,6
 2 ,N1124   , 77 ,92.84,6
 2 ,N1124   , 77.5 ,92.90,6
 2 ,N1124   , 78 ,93.26,6
 2 ,N1124   , 78.5 ,93.84,6
 2 ,N1124   , 79 ,94.23,6
 2 ,N1124   , 79.5 ,94.49,7
 2 ,N1124   , 80 ,95.32,7
 2 ,N1124   , 80.5 ,95.55,7
 2 ,N1124   , 81 ,96.03,8
 2 ,N1124   , 81.5 ,96.02,7
 2 ,N1124   , 82 ,96.68,8
 2 ,N1124   , 82.5 ,97.12,6
 2 ,N1124   , 83 ,97.41,8
 2 ,N1124   , 83.5 ,97.61,8
 2 ,N1124   , 84 ,97.74,8
 2 ,N1124   , 84.5 ,97.83,8
 2 ,N1124   , 85 ,98.22,9
 2 ,N1124   , 85.5 ,98.81,9
 2 ,N1124   , 86 ,98.87,7
 2 ,N1124   , 86.5 ,99.58,9
 2 ,N1124   , 87 ,99.72,9
 2 ,N1124   , 87.5 ,100.48,8
 2 ,N1124   , 88 ,100.65,9
 2 ,N1124   , 88.5 ,101.10,9
 2 ,N1124   , 89 ,102.07,9
 2 ,N1124   , 89.5 ,102.38,10
 2 ,N1124   , 90 ,102.25,9
 2 ,N1124   , 90.5 ,102.84,11
 2 ,N1124   , 91 ,103.22,9
 2 ,N1124   , 91.5 ,103.82,10
 2 ,N1124   , 92 ,104.21,2
 2 ,N1124   , 92.5 ,104.47,10
 2 ,N1124   , 93 ,104.98,10
 2 ,N1124   , 93.5 ,105.32,11
 2 ,N1124   , 94 ,105.55,10
 2 ,N1124   , 94.5 ,106.03,11
 2 ,N1124   , 95 ,106.35,10
 2 ,N1124   , 95.5 ,106.57,12
 2 ,N1124   , 96 ,107.05,10
 2 ,N1124   , 96.5 ,107.03,9
 2 ,N1124   , 97 ,107.35,11
 2 ,N1124   , 97.5 ,107.90,10
 2 ,N1124   , 98 ,107.94,11
 2 ,N1124   , 98.5 ,108.62,10
 2 ,N1124   , 99 ,109.08,11
 2 ,N1124   , 99.5 ,109.39,9
 2 ,N1124   , 100 ,109.93,10
 2 ,N1124   , 100.5 ,110.28,9
 2 ,N1124   , 101 ,110.86,10
 2 ,N1124   , 101.5 ,111.24,10
 2 ,N1124   , 102 ,111.49,9
 2 ,N1124   , 102.5 ,111.99,10
 2 ,N1124   , 103 ,112.33,10
 2 ,N1124   , 103.5 ,112.22,8
 2 ,N1124   , 104 ,112.81,8
 2 ,N1124   , 104.5 ,112.88,10
 2 ,N1124   , 105 ,113.25,10
 2 ,N1124   , 105.5 ,113.50,9
 2 ,N1124   , 106 ,113.33,8
 2 ,N1124   , 106.5 ,114.22,10
 2 ,N1124   , 107 ,114.48,9
 2 ,N1124   , 107.5 ,114.99,10
 2 ,N1124   , 108 ,115.33,9
 2 ,N1124   , 108.5 ,115.88,9
 2 ,N1124   , 109 ,115.92,10
 2 ,N1124   , 109.5 ,116.61,10
 2 ,N1124   , 110 ,117.08,11
 2 ,N1124   , 110.5 ,117.38,10
 2 ,N1124   , 111 ,117.92,9
 2 ,N1124   , 111.5 ,117.95,11
 2 ,N1124   , 112 ,116.97,10
 2 ,N1124   , 112.5 ,117.98,9
 2 ,N1124   , 113 ,118.65,11
 2 ,N1124   , 113.5 ,119.43,12
 2 ,N1124   , 114 ,119.62,12
 2 ,N1124   , 114.5 ,120.08,11
 2 ,N1124   , 115 ,120.05,11
 2 ,N1124   , 115.5 ,120.37,12
 2 ,N1124   , 116 ,121.25,11
 2 ,N1124   , 116.5 ,121.50,12
 2 ,N1124   , 117 ,121.33,12
 2 ,N1124   , 117.5 ,122.22,12
 2 ,N1124   , 118 ,122.48,13
 2 ,N1124   , 118.5 ,122.99,14
 2 ,N1124   , 119 ,122.99,13
 2 ,N1124   , 119.5 ,123.66,15
 2 ,N1124   , 120 ,124.11,12
 2 ,N1124   , 120.5 ,125.07,15
 2 ,N1124   , 121 ,125.05,15
 2 ,N1124   , 121.5 ,125.70,15
 2 ,N1124   , 122 ,126.13,17
 2 ,N1124   , 122.5 ,126.09,15
 2 ,N1124   , 123 ,126.73,16
 2 ,N1124   , 123.5 ,127.15,16
 2 ,N1124   , 124 ,127.10,16
 2 ,N1124   , 124.5 ,127.07,18
 2 ,N1124   , 125 ,127.04,18
 2 ,N1124   , 125.5 ,128.03,17
 2 ,N1124   , 126 ,128.35,18
 2 ,N1124   , 126.5 ,128.90,19
 2 ,N1124   , 127 ,129.60,20
 2 ,N1124   , 127.5 ,130.07,19
 2 ,N1124   , 128 ,130.05,20
 2 ,N1124   , 128.5 ,130.03,21
 2 ,N1124   , 129 ,130.02,20
 2 ,N1124   , 129.5 ,130.35,21
 2 ,N1124   , 130 ,130.56,22
 2 ,N1124   , 130.5 ,131.71,23
 2 ,N1124   , 131 ,132.14,25
 2 ,N1124   , 131.5 ,131.09,23
 2 ,N1124   , 132 ,132.40,23
 2 ,N1124   , 132.5 ,132.93,24
