barcode,time,temp,Count
N1115   ,0.8,34.78,1.0
N1115   ,0.9,34.85,1.0
N1115   ,1.0,35.23,0.0
N1115   ,1.1,35.16,0.0
N1115   ,1.2,35.1,1.0
N1115   ,1.3,35.4,1.0
N1115   ,1.4,35.27,0.0
N1115   ,1.5,35.18,1.0
N1115   ,1.6,35.45,0.0
N1115   ,1.7,35.64,1.0
N1115   ,1.8,35.42,0.0
N1115   ,1.9,35.62,1.0
N1115   ,2.0,35.41,0.0
N1115   ,2.1,35.27,1.0
N1115   ,2.2,35.18,0.0
N1115   ,2.3,35.12,1.0
N1115   ,2.4,35.08,1.0
N1115   ,2.5,35.05,0.0
N1115   ,2.6,35.04,0.0
N1115   ,2.7,35.02,1.0
N1115   ,2.8,35.02,0.0
N1115   ,2.9,35.01,1.0
N1115   ,3.0,35.34,0.0
N1115   ,3.1,35.23,1.0
N1115   ,3.2,35.15,0.0
N1115   ,3.3,35.43,0.0
N1115   ,3.4,35.29,1.0
N1115   ,3.5,35.53,1.0
N1115   ,3.6,35.68,0.0
N1115   ,3.7,35.46,1.0
N1115   ,3.8,35.3,0.0
N1115   ,3.9,35.54,0.0
N1115   ,4.0,35.36,1.0
N1115   ,4.1,35.24,0.0
N1115   ,4.2,35.49,1.0
N1115   ,4.3,35.33,0.0
N1115   ,4.4,35.55,0.0
N1115   ,4.5,36.03,1.0
N1115   ,4.6,36.02,1.0
N1115   ,4.7,36.35,0.0
N1115   ,4.8,37.23,1.0
N1115   ,4.9,37.82,1.0
N1115   ,5.0,38.88,0.0
N1115   ,5.1,39.59,1.0
N1115   ,5.2,40.39,0.0
N1115   ,5.3,41.26,1.0
N1115   ,5.4,42.17,0.0
N1115   ,5.5,42.45,1.0
N1115   ,5.6,42.97,0.0
N1115   ,5.7,43.64,1.0
N1115   ,5.8,44.1,0.0
N1115   ,5.9,44.4,1.0
N1115   ,6.0,44.93,0.0
N1115   ,6.1,45.95,1.0
N1115   ,6.2,46.64,0.0
N1115   ,6.3,47.09,0.0
N1115   ,6.4,47.06,1.0
N1115   ,6.5,47.71,0.0
N1115   ,6.6,48.47,1.0
N1115   ,6.7,49.31,0.0
N1115   ,6.8,49.54,1.0
N1115   ,6.9,50.03,0.0
N1115   ,7.0,51.02,1.0
N1115   ,7.1,51.68,0.0
N1115   ,7.2,52.45,1.0
N1115   ,7.3,52.64,2.0
N1115   ,7.4,53.09,0.0
N1115   ,7.5,53.73,1.0
N1115   ,7.6,54.15,0.0
N1115   ,7.7,54.77,1.0
N1115   ,7.8,55.18,0.0
N1115   ,7.9,55.79,1.0
N1115   ,8.0,56.52,0.0
N1115   ,8.1,57.02,1.0
N1115   ,8.2,57.68,0.0
N1115   ,8.3,58.12,1.0
N1115   ,8.4,59.08,0.0
N1115   ,8.5,59.72,0.0
N1115   ,8.6,60.15,1.0
N1115   ,8.7,60.43,0.0
N1115   ,8.8,60.95,1.0
N1115   ,8.9,61.64,0.0
N1115   ,9.0,62.42,1.0
N1115   ,9.1,62.95,0.0
N1115   ,9.2,63.3,1.0
N1115   ,9.3,64.2,0.0
N1115   ,9.4,65.13,1.0
N1115   ,9.5,65.76,0.0
N1115   ,9.6,66.17,0.0
N1115   ,9.7,66.78,1.0
N1115   ,9.8,67.19,0.0
N1115   ,9.9,67.79,1.0
N1115   ,10.0,68.86,0.0
N1115   ,10.1,69.57,1.0
N1115   ,10.2,70.38,0.0
N1115   ,10.3,70.59,1.0
N1115   ,10.4,71.39,0.0
N1115   ,10.5,71.93,1.0
N1115   ,10.6,72.29,1.0
N1115   ,10.7,73.19,0.0
N1115   ,10.8,73.79,0.0
N1115   ,10.9,74.2,2.0
N1115   ,11.0,74.8,1.0
N1115   ,11.1,75.53,1.0
N1115   ,11.2,76.02,0.0
N1115   ,11.3,76.35,1.0
N1115   ,11.4,77.23,1.0
N1115   ,11.5,77.49,1.0
N1115   ,11.6,78.33,0.0
N1115   ,11.7,78.55,1.0
N1115   ,11.8,78.7,1.0
N1115   ,11.9,79.47,0.0
N1115   ,12.0,80.31,1.0
N1115   ,12.1,81.21,1.0
N1115   ,12.2,81.8,1.0
N1115   ,12.3,82.54,1.0
N1115   ,12.4,83.36,1.0
N1115   ,12.5,84.24,1.0
N1115   ,12.6,84.83,1.0
N1115   ,12.7,84.88,0.0
N1115   ,12.8,85.26,1.0
N1115   ,12.9,85.5,1.0
N1115   ,13.0,86.67,1.0
N1115   ,13.1,87.11,2.0
N1115   ,13.2,87.74,1.0
N1115   ,13.3,88.16,1.0
N1115   ,13.4,89.11,1.0
N1115   ,13.5,89.74,1.0
N1115   ,13.6,90.16,1.0
N1115   ,13.7,90.44,1.0
N1115   ,13.8,91.29,2.0
N1115   ,13.9,92.2,1.0
N1115   ,14.0,92.8,2.0
N1115   ,14.1,93.53,1.0
N1115   ,14.2,94.02,2.0
N1115   ,14.3,94.35,1.0
N1115   ,14.4,94.9,2.0
N1115   ,14.5,95.6,2.0
N1115   ,14.6,96.4,2.0
N1115   ,14.7,97.27,2.0
N1115   ,14.8,97.51,1.0
N1115   ,14.9,98.01,2.0
N1115   ,15.0,98.67,2.0
N1115   ,15.1,99.11,3.0
N1115   ,15.2,99.74,2.0
N1115   ,15.3,100.83,2.0
N1115   ,15.4,101.22,3.0
N1115   ,15.5,101.48,2.0
N1115   ,15.6,102.32,3.0
N1115   ,15.7,103.21,3.0
N1115   ,15.8,103.81,3.0
N1115   ,15.9,104.54,3.0
N1115   ,16.0,105.36,4.0
N1115   ,16.1,105.57,4.0
N1115   ,16.2,106.05,4.0
N1115   ,16.3,106.7,4.0
N1115   ,16.4,107.13,5.0
N1115   ,16.5,107.76,4.0
N1115   ,16.6,108.5,5.0
N1115   ,16.7,109.0,5.0
N1115   ,16.8,109.33,7.0
N1115   ,16.9,109.89,6.0
N1115   ,17.0,110.59,6.0
N1115   ,17.1,111.06,7.0
N1115   ,17.2,111.71,7.0
N1115   ,17.3,112.47,9.0
N1115   ,17.4,112.98,7.0
N1115   ,17.5,113.65,9.0
N1115   ,17.6,114.1,9.0
N1115   ,17.7,115.07,8.0
N1115   ,17.8,115.38,10.0
N1115   ,17.9,116.25,11.0
N1115   ,18.0,116.84,12.0
N1115   ,18.1,117.22,12.0
N1115   ,18.2,117.82,13.0
N1115   ,18.3,118.88,15.0
N1115   ,18.4,119.58,15.0
N1115   ,18.5,120.39,16.0
N1115   ,18.6,120.59,16.0
N1115   ,18.7,121.06,17.0
N1115   ,18.8,121.37,19.0
N1115   ,18.9,121.92,20.0
N1115   ,19.0,122.61,23.0
N1115   ,19.1,123.07,24.0
N1115   ,19.2,124.05,24.0
N1115   ,19.3,124.7,26.0
N1115   ,19.4,125.47,26.0
N1115   ,19.5,125.98,30.0
N1115   ,19.6,126.65,29.0
N1115   ,19.7,127.1,32.0
N1115   ,19.8,127.4,33.0
N1115   ,19.9,128.27,34.0
N1115   ,20.0,128.84,37.0
N1115   ,20.1,129.23,39.0
N1115   ,20.2,129.82,39.0
N1115   ,20.3,130.55,43.0
N1115   ,20.4,131.36,44.0
N1115   ,20.5,131.91,46.0
N1115   ,20.6,132.27,47.0
N1115   ,20.7,132.85,49.0
N1115   ,20.8,133.23,54.0
N1115   ,20.9,133.82,56.0
N1115   ,21.0,134.88,58.0
N1115   ,21.1,135.25,60.0
N1115   ,21.2,136.17,63.0
N1115   ,21.3,136.45,65.0
N1115   ,21.4,136.96,66.0
N1115   ,21.5,137.64,67.0
N1115   ,21.6,137.76,73.0
N1115   ,21.7,138.51,68.0
N1115   ,21.8,139.01,71.0
N1115   ,21.9,139.67,72.0
N1115   ,22.0,140.45,76.0
N1115   ,22.1,140.96,74.0
N1115   ,22.2,141.31,77.0
N1115   ,22.3,141.87,78.0
N1115   ,22.4,142.58,75.0
N1115   ,22.5,143.72,75.0
N1115   ,22.6,144.48,74.0
N1115   ,22.7,145.32,76.0
N1115   ,22.8,145.55,73.0
N1115   ,22.9,146.03,72.0
N1115   ,23.0,146.69,72.0
N1115   ,23.1,147.13,71.0
N1115   ,23.2,147.75,67.0
N1115   ,23.3,148.5,68.0
N1115   ,23.4,149.33,67.0
N1115   ,23.5,149.89,64.0
N1115   ,23.6,150.26,62.0
N1115   ,23.7,150.84,60.0
N1115   ,23.8,151.56,58.0
N1115   ,23.9,151.71,56.0
N1115   ,24.0,152.8,54.0
N1115   ,24.1,153.2,52.0
N1115   ,24.2,153.8,53.0
N1115   ,24.3,154.2,50.0
N1115   ,24.4,154.8,52.0
N1115   ,24.5,155.53,48.0
N1115   ,24.6,156.02,53.0
N1115   ,24.7,156.68,53.0
N1115   ,24.8,157.12,52.0
N1115   ,24.9,157.75,52.0
N1115   ,25.0,158.83,51.0
N1115   ,25.1,159.55,56.0
N1115   ,25.2,160.04,57.0
