barcode,time,temp,Count
N1042   ,4,33.09,1
N1042   ,4.5,34.73,1
N1042   ,5,37.15,2
N1042   ,5.5,38.44,2
N1042   ,6,39.29,1
N1042   ,6.5,40.53,1
N1042   ,7,41.35,1
N1042   ,7.5,42.23,2
N1042   ,8,43.16,1
N1042   ,8.5,43.1,2
N1042   ,9,43.74,1
N1042   ,9.5,44.49,2
N1042   ,10,44.99,2
N1042   ,10.5,45.33,1
N1042   ,11,45.89,2
N1042   ,11.5,46.26,1
N1042   ,12,46.5,2
N1042   ,12.5,47,1
N1042   ,13,47.34,2
N1042   ,13.5,47.89,1
N1042   ,14,48.26,2
N1042   ,14.5,48.51,1
N1042   ,15,49,2
N1042   ,15.5,49.67,2
N1042   ,16,50.45,1
N1042   ,16.5,50.63,1
N1042   ,17,50.75,2
N1042   ,17.5,51.5,2
N1042   ,18,52.34,1
N1042   ,18.5,52.89,3
N1042   ,19,53.59,1
N1042   ,19.5,54.06,2
N1042   ,20,54.37,1
N1042   ,20.5,54.58,1
N1042   ,21,55.06,2
N1042   ,21.5,56.04,1
N1042   ,22,56.69,2
N1042   ,22.5,57.13,2
N1042   ,23,57.42,2
N1042   ,23.5,57.95,2
N1042   ,24,58.63,1
N1042   ,24.5,59.09,2
N1042   ,25,59.72,2
N1042   ,25.5,60.15,2
N1042   ,26,60.77,1
N1042   ,26.5,61.18,1
N1042   ,27,61.12,2
N1042   ,27.5,61.41,2
N1042   ,28,61.94,3
N1042   ,28.5,62.63,2
N1042   ,29,63.42,2
N1042   ,29.5,63.61,2
N1042   ,30,64.41,2
N1042   ,30.5,64.61,2
N1042   ,31,65.07,2
N1042   ,31.5,65.38,2
N1042   ,32,66.25,2
N1042   ,32.5,66.5,2
N1042   ,33,67,3
N1042   ,33.5,67.67,2
N1042   ,34,68.11,3
N1042   ,34.5,69.07,3
N1042   ,35,69.72,2
N1042   ,35.5,70.14,3
N1042   ,36,70.76,3
N1042   ,36.5,71.18,2
N1042   ,37,71.78,3
N1042   ,37.5,72.19,3
N1042   ,38,72.79,3
N1042   ,38.5,72.86,4
N1042   ,39,73.24,4
N1042   ,39.5,73.83,3
N1042   ,40,74.55,4
N1042   ,40.5,75.03,3
N1042   ,41,75.36,4
N1042   ,41.5,75.57,4
N1042   ,42,76.05,4
N1042   ,42.5,76.7,4
N1042   ,43,77.8,4
N1042   ,43.5,77.87,4
N1042   ,44,78.24,5
N1042   ,44.5,78.5,4
N1042   ,45,79,6
N1042   ,45.5,79.33,5
N1042   ,46,80.22,5
N1042   ,46.5,80.15,6
N1042   ,47,81.1,5
N1042   ,47.5,81.4,7
N1042   ,48,81.93,8
N1042   ,48.5,82.29,8
N1042   ,49,83.19,6
N1042   ,49.5,83.79,7
N1042   ,50,84.2,9
N1042   ,50.5,84.46,8
N1042   ,51,84.98,9
N1042   ,51.5,85.65,10
N1042   ,52,86.1,10
N1042   ,52.5,86.73,10
N1042   ,53,87.16,10
N1042   ,53.5,87.44,13
N1042   ,54,87.96,12
N1042   ,54.5,88.64,11
N1042   ,55,89.76,13
N1042   ,55.5,89.84,14
N1042   ,56,90.23,13
N1042   ,56.5,90.82,15
N1042   ,57,91.55,16
N1042   ,57.5,91.7,16
N1042   ,58,92.13,17
N1042   ,58.5,92.42,18
N1042   ,59,93.28,20
N1042   ,59.5,94.19,21
N1042   ,60,94.79,21
N1042   ,60.5,94.86,23
N1042   ,61,95.24,23
N1042   ,61.5,95.83,25
N1042   ,62,96.55,27
N1042   ,62.5,96.7,26
N1042   ,63,97.13,29
N1042   ,63.5,97.76,28
N1042   ,64,98.5,31
N1042   ,64.5,99,32
N1042   ,65,99.34,34
N1042   ,65.5,99.89,36
N1042   ,66,100.26,38
N1042   ,66.5,100.84,37
N1042   ,67,101.23,41
N1042   ,67.5,101.48,42
N1042   ,68,102.32,45
N1042   ,68.5,102.22,44
N1042   ,69,102.81,48
N1042   ,69.5,103.21,49
N1042   ,70,103.8,51
N1042   ,70.5,104.2,53
N1042   ,71,104.47,52
N1042   ,71.5,104.98,55
N1042   ,72,105.32,57
