barcode,time,temp,Count
N1054   ,0.8,34.89,0.0
N1054   ,0.9,35.26,0.0
N1054   ,1.0,35.17,1.0
N1054   ,1.1,34.78,0.0
N1054   ,1.2,34.85,0.0
N1054   ,1.3,34.57,1.0
N1054   ,1.4,34.38,0.0
N1054   ,1.5,34.59,0.0
N1054   ,1.6,34.72,2.0
N1054   ,1.7,34.82,0.0
N1054   ,1.8,34.88,0.0
N1054   ,1.9,34.92,1.0
N1054   ,2.0,34.61,0.0
N1054   ,2.1,34.41,0.0
N1054   ,2.2,34.61,1.0
N1054   ,2.3,34.74,0.0
N1054   ,2.4,34.82,1.0
N1054   ,2.5,34.88,0.0
N1054   ,2.6,34.92,1.0
N1054   ,2.7,34.95,0.0
N1054   ,2.8,35.3,1.0
N1054   ,2.9,34.87,0.0
N1054   ,3.0,34.58,0.0
N1054   ,3.1,34.72,0.0
N1054   ,3.2,34.48,1.0
N1054   ,3.3,34.65,0.0
N1054   ,3.4,35.1,0.0
N1054   ,3.5,35.07,1.0
N1054   ,3.6,35.05,0.0
N1054   ,3.7,35.03,0.0
N1054   ,3.8,35.02,1.0
N1054   ,3.9,34.68,0.0
N1054   ,4.0,34.45,0.0
N1054   ,4.1,34.3,1.0
N1054   ,4.2,34.53,0.0
N1054   ,4.3,34.69,1.0
N1054   ,4.4,34.46,0.0
N1054   ,4.5,35.31,1.0
N1054   ,4.6,35.87,0.0
N1054   ,4.7,36.58,0.0
N1054   ,4.8,37.05,1.0
N1054   ,4.9,38.37,0.0
N1054   ,5.0,39.25,1.0
N1054   ,5.1,39.83,1.0
N1054   ,5.2,40.55,0.0
N1054   ,5.3,40.7,0.0
N1054   ,5.4,40.47,1.0
N1054   ,5.5,40.65,0.0
N1054   ,5.6,40.76,0.0
N1054   ,5.7,40.84,1.0
N1054   ,5.8,41.23,0.0
N1054   ,5.9,41.15,0.0
N1054   ,6.0,41.43,1.0
N1054   ,6.1,41.62,0.0
N1054   ,6.2,41.75,0.0
N1054   ,6.3,41.83,1.0
N1054   ,6.4,41.89,1.0
N1054   ,6.5,42.26,0.0
N1054   ,6.6,42.51,1.0
N1054   ,6.7,43.0,0.0
N1054   ,6.8,42.67,0.0
N1054   ,6.9,42.78,1.0
N1054   ,7.0,42.85,0.0
N1054   ,7.1,42.9,0.0
N1054   ,7.2,43.27,1.0
N1054   ,7.3,43.51,0.0
N1054   ,7.4,43.67,1.0
N1054   ,7.5,44.12,0.0
N1054   ,7.6,44.08,1.0
N1054   ,7.7,44.05,0.0
N1054   ,7.8,44.03,0.0
N1054   ,7.9,44.36,1.0
N1054   ,8.0,44.24,0.0
N1054   ,8.1,44.49,1.0
N1054   ,8.2,44.66,0.0
N1054   ,8.3,44.77,1.0
N1054   ,8.4,44.85,0.0
N1054   ,8.5,44.9,0.0
N1054   ,8.6,44.93,1.0
N1054   ,8.7,44.96,1.0
N1054   ,8.8,44.97,0.0
N1054   ,8.9,44.98,0.0
N1054   ,9.0,45.32,1.0
N1054   ,9.1,45.88,0.0
N1054   ,9.2,46.25,0.0
N1054   ,9.3,46.5,1.0
N1054   ,9.4,46.33,0.0
N1054   ,9.5,46.22,0.0
N1054   ,9.6,46.48,1.0
N1054   ,9.7,46.65,0.0
N1054   ,9.8,46.77,0.0
N1054   ,9.9,46.51,1.0
N1054   ,10.0,47.01,0.0
N1054   ,10.1,47.34,0.0
N1054   ,10.2,47.89,0.0
N1054   ,10.3,48.26,1.0
N1054   ,10.4,48.17,0.0
N1054   ,10.5,48.12,0.0
N1054   ,10.6,48.08,1.0
N1054   ,10.7,48.05,1.0
N1054   ,10.8,48.37,0.0
N1054   ,10.9,48.58,1.0
N1054   ,11.0,48.39,0.0
N1054   ,11.1,48.59,1.0
N1054   ,11.2,48.73,0.0
N1054   ,11.3,48.82,0.0
N1054   ,11.4,48.88,1.0
N1054   ,11.5,48.59,0.0
N1054   ,11.6,48.72,0.0
N1054   ,11.7,49.15,1.0
N1054   ,11.8,49.1,0.0
N1054   ,11.9,49.07,0.0
N1054   ,12.0,49.38,1.0
N1054   ,12.1,49.59,0.0
N1054   ,12.2,50.39,0.0
N1054   ,12.3,50.26,1.0
N1054   ,12.4,50.84,0.0
N1054   ,12.5,51.23,1.0
N1054   ,12.6,51.48,0.0
N1054   ,12.7,51.66,0.0
N1054   ,12.8,51.77,1.0
N1054   ,12.9,51.85,0.0
N1054   ,13.0,51.9,0.0
N1054   ,13.1,51.93,0.0
N1054   ,13.2,51.95,1.0
N1054   ,13.3,51.97,0.0
N1054   ,13.4,51.98,1.0
N1054   ,13.5,51.99,1.0
N1054   ,13.6,51.99,0.0
N1054   ,13.7,51.66,0.0
N1054   ,13.8,52.11,1.0
N1054   ,13.9,52.74,0.0
N1054   ,14.0,52.83,1.0
N1054   ,14.1,53.22,1.0
N1054   ,14.2,53.14,0.0
N1054   ,14.3,53.43,1.0
N1054   ,14.4,53.62,0.0
N1054   ,14.5,53.41,1.0
N1054   ,14.6,53.94,0.0
N1054   ,14.7,54.29,0.0
N1054   ,14.8,54.2,1.0
N1054   ,14.9,54.46,0.0
N1054   ,15.0,54.64,1.0
N1054   ,15.1,54.76,0.0
N1054   ,15.2,54.84,0.0
N1054   ,15.3,54.56,1.0
N1054   ,15.4,54.37,0.0
N1054   ,15.5,54.58,1.0
N1054   ,15.6,54.39,0.0
N1054   ,15.7,54.93,0.0
N1054   ,15.8,55.28,0.0
N1054   ,15.9,55.52,1.0
N1054   ,16.0,55.01,0.0
N1054   ,16.1,55.68,1.0
N1054   ,16.2,55.45,0.0
N1054   ,16.3,55.63,0.0
N1054   ,16.4,55.76,1.0
N1054   ,16.5,55.84,0.0
N1054   ,16.6,56.22,0.0
N1054   ,16.7,56.82,0.0
N1054   ,16.8,56.88,1.0
N1054   ,16.9,56.59,0.0
N1054   ,17.0,56.72,0.0
N1054   ,17.1,56.82,1.0
N1054   ,17.2,57.54,0.0
N1054   ,17.3,57.7,1.0
N1054   ,17.4,57.8,0.0
N1054   ,17.5,58.2,1.0
N1054   ,17.6,58.13,0.0
N1054   ,17.7,58.09,0.0
N1054   ,17.8,58.06,0.0
N1054   ,17.9,58.04,1.0
N1054   ,18.0,58.03,0.0
N1054   ,18.1,58.02,0.0
N1054   ,18.2,58.34,1.0
N1054   ,18.3,58.56,1.0
N1054   ,18.4,58.38,0.0
N1054   ,18.5,58.58,0.0
N1054   ,18.6,59.39,1.0
N1054   ,18.7,59.93,0.0
N1054   ,18.8,60.28,1.0
N1054   ,18.9,60.19,1.0
N1054   ,19.0,60.13,0.0
N1054   ,19.1,60.75,1.0
N1054   ,19.2,60.5,0.0
N1054   ,19.3,60.67,1.0
N1054   ,19.4,60.78,0.0
N1054   ,19.5,60.85,0.0
N1054   ,19.6,60.57,1.0
N1054   ,19.7,60.71,0.0
N1054   ,19.8,60.81,1.0
N1054   ,19.9,60.87,0.0
N1054   ,20.0,60.91,1.0
N1054   ,20.1,61.61,1.0
N1054   ,20.2,62.07,0.0
N1054   ,20.3,61.72,0.0
N1054   ,20.4,61.81,1.0
N1054   ,20.5,62.21,0.0
N1054   ,20.6,62.47,1.0
N1054   ,20.7,62.31,0.0
N1054   ,20.8,62.21,1.0
N1054   ,20.9,62.14,1.0
N1054   ,21.0,62.43,0.0
N1054   ,21.1,62.62,1.0
N1054   ,21.2,62.41,0.0
N1054   ,21.3,62.27,0.0
N1054   ,21.4,62.52,1.0
N1054   ,21.5,62.34,0.0
N1054   ,21.6,62.9,1.0
N1054   ,21.7,62.93,0.0
N1054   ,21.8,62.95,0.0
N1054   ,21.9,63.64,1.0
N1054   ,22.0,63.76,0.0
N1054   ,22.1,63.5,1.0
N1054   ,22.2,64.0,1.0
N1054   ,22.3,64.34,0.0
N1054   ,22.4,64.56,0.0
N1054   ,22.5,65.04,1.0
N1054   ,22.6,65.03,1.0
N1054   ,22.7,65.02,0.0
N1054   ,22.8,65.01,0.0
N1054   ,22.9,64.67,1.0
N1054   ,23.0,64.78,0.0
N1054   ,23.1,64.86,1.0
N1054   ,23.2,65.24,0.0
N1054   ,23.3,65.49,0.0
