barcode,time,temp,Count
N1085   ,0.8,36.98,1.0
N1085   ,0.9,36.98,1.0
N1085   ,1.0,36.99,0.0
N1085   ,1.1,36.99,1.0
N1085   ,1.2,37.0,1.0
N1085   ,1.3,37.33,0.0
N1085   ,1.4,36.89,0.0
N1085   ,1.5,36.92,1.0
N1085   ,1.6,36.95,0.0
N1085   ,1.7,36.63,1.0
N1085   ,1.8,36.76,0.0
N1085   ,1.9,36.84,0.0
N1085   ,2.0,36.89,2.0
N1085   ,2.1,36.93,0.0
N1085   ,2.2,37.29,1.0
N1085   ,2.3,37.19,0.0
N1085   ,2.4,37.13,1.0
N1085   ,2.5,36.75,0.0
N1085   ,2.6,36.5,1.0
N1085   ,2.7,36.67,0.0
N1085   ,2.8,37.11,1.0
N1085   ,2.9,37.07,0.0
N1085   ,3.0,37.72,1.0
N1085   ,3.1,37.48,0.0
N1085   ,3.2,37.32,1.0
N1085   ,3.3,37.55,0.0
N1085   ,3.4,37.36,1.0
N1085   ,3.5,37.91,0.0
N1085   ,3.6,37.61,1.0
N1085   ,3.7,37.74,0.0
N1085   ,3.8,37.49,0.0
N1085   ,3.9,37.66,1.0
N1085   ,4.0,37.44,0.0
N1085   ,4.1,37.29,1.0
N1085   ,4.2,37.2,0.0
N1085   ,4.3,37.46,0.0
N1085   ,4.4,37.64,1.0
N1085   ,4.5,37.43,1.0
N1085   ,4.6,38.62,1.0
N1085   ,4.7,38.41,2.0
N1085   ,4.8,38.61,0.0
N1085   ,4.9,39.07,0.0
N1085   ,5.0,40.05,1.0
N1085   ,5.1,40.37,0.0
N1085   ,5.2,40.58,1.0
N1085   ,5.3,40.72,0.0
N1085   ,5.4,41.15,1.0
N1085   ,5.5,41.1,0.0
N1085   ,5.6,41.06,1.0
N1085   ,5.7,40.71,0.0
N1085   ,5.8,40.81,1.0
N1085   ,5.9,40.87,0.0
N1085   ,6.0,40.91,1.0
N1085   ,6.1,41.28,0.0
N1085   ,6.2,41.52,0.0
N1085   ,6.3,41.34,1.0
N1085   ,6.4,41.23,0.0
N1085   ,6.5,41.49,1.0
N1085   ,6.6,42.32,0.0
N1085   ,6.7,42.88,1.0
N1085   ,6.8,43.26,0.0
N1085   ,6.9,43.5,1.0
N1085   ,7.0,43.67,0.0
N1085   ,7.1,43.11,1.0
N1085   ,7.2,43.08,0.0
N1085   ,7.3,43.05,1.0
N1085   ,7.4,43.37,1.0
N1085   ,7.5,43.24,0.0
N1085   ,7.6,43.83,1.0
N1085   ,7.7,44.22,0.0
N1085   ,7.8,44.15,0.0
N1085   ,7.9,44.43,1.0
N1085   ,8.0,44.29,0.0
N1085   ,8.1,44.19,1.0
N1085   ,8.2,44.13,0.0
N1085   ,8.3,44.42,2.0
N1085   ,8.4,44.61,0.0
N1085   ,8.5,44.41,1.0
N1085   ,8.6,44.27,1.0
N1085   ,8.7,44.18,0.0
N1085   ,8.8,44.12,0.0
N1085   ,8.9,44.75,1.0
N1085   ,9.0,45.16,0.0
N1085   ,9.1,45.44,1.0
N1085   ,9.2,45.96,0.0
N1085   ,9.3,45.97,0.0
N1085   ,9.4,46.32,1.0
N1085   ,9.5,46.54,0.0
N1085   ,9.6,46.7,1.0
N1085   ,9.7,46.8,0.0
N1085   ,9.8,46.86,1.0
N1085   ,9.9,46.91,0.0
N1085   ,10.0,46.61,0.0
N1085   ,10.1,47.07,1.0
N1085   ,10.2,47.38,0.0
N1085   ,10.3,47.92,1.0
N1085   ,10.4,47.95,0.0
N1085   ,10.5,47.96,0.0
N1085   ,10.6,47.98,1.0
N1085   ,10.7,47.65,0.0
N1085   ,10.8,47.77,1.0
N1085   ,10.9,48.18,0.0
N1085   ,11.0,48.45,1.0
N1085   ,11.1,48.3,0.0
N1085   ,11.2,48.53,1.0
N1085   ,11.3,48.69,0.0
N1085   ,11.4,48.79,1.0
N1085   ,11.5,48.86,1.0
N1085   ,11.6,48.57,0.0
N1085   ,11.7,48.72,1.0
N1085   ,11.8,48.81,0.0
N1085   ,11.9,48.87,1.0
N1085   ,12.0,49.25,0.0
N1085   ,12.1,49.17,1.0
N1085   ,12.2,49.44,0.0
N1085   ,12.3,49.63,1.0
N1085   ,12.4,49.75,1.0
N1085   ,12.5,49.84,0.0
N1085   ,12.6,49.89,1.0
N1085   ,12.7,50.26,0.0
N1085   ,12.8,50.51,1.0
N1085   ,12.9,50.67,0.0
N1085   ,13.0,50.78,1.0
N1085   ,13.1,50.85,0.0
N1085   ,13.2,50.9,1.0
N1085   ,13.3,50.94,0.0
N1085   ,13.4,50.96,1.0
N1085   ,13.5,50.97,0.0
N1085   ,13.6,50.98,0.0
N1085   ,13.7,50.99,1.0
N1085   ,13.8,50.99,0.0
N1085   ,13.9,50.99,1.0
N1085   ,14.0,51.66,0.0
N1085   ,14.1,52.11,0.0
N1085   ,14.2,52.07,1.0
N1085   ,14.3,52.38,0.0
N1085   ,14.4,52.59,1.0
N1085   ,14.5,52.73,1.0
N1085   ,14.6,53.15,1.0
N1085   ,14.7,53.43,0.0
N1085   ,14.8,53.29,1.0
N1085   ,14.9,53.53,0.0
N1085   ,15.0,54.02,0.0
N1085   ,15.1,53.68,1.0
N1085   ,15.2,53.45,0.0
N1085   ,15.3,53.3,1.0
N1085   ,15.4,53.53,0.0
N1085   ,15.5,53.69,1.0
N1085   ,15.6,53.79,1.0
N1085   ,15.7,53.86,0.0
N1085   ,15.8,54.24,0.0
N1085   ,15.9,54.49,1.0
N1085   ,16.0,54.66,0.0
N1085   ,16.1,55.11,1.0
N1085   ,16.2,55.07,1.0
N1085   ,16.3,55.05,0.0
N1085   ,16.4,55.03,1.0
N1085   ,16.5,55.02,0.0
N1085   ,16.6,55.01,1.0
N1085   ,16.7,55.01,0.0
N1085   ,16.8,55.01,1.0
N1085   ,16.9,55.0,0.0
N1085   ,17.0,55.0,1.0
N1085   ,17.1,55.0,0.0
N1085   ,17.2,54.67,1.0
N1085   ,17.3,55.11,0.0
N1085   ,17.4,55.74,2.0
N1085   ,17.5,56.16,1.0
N1085   ,17.6,56.44,0.0
N1085   ,17.7,56.63,0.0
N1085   ,17.8,56.75,1.0
N1085   ,17.9,57.17,0.0
N1085   ,18.0,57.11,1.0
N1085   ,18.1,57.07,0.0
N1085   ,18.2,57.05,1.0
N1085   ,18.3,57.37,0.0
N1085   ,18.4,57.58,1.0
N1085   ,18.5,57.72,0.0
N1085   ,18.6,57.81,0.0
N1085   ,18.7,58.21,1.0
N1085   ,18.8,58.14,0.0
N1085   ,18.9,58.09,1.0
N1085   ,19.0,58.06,0.0
N1085   ,19.1,58.04,0.0
N1085   ,19.2,58.36,1.0
N1085   ,19.3,57.91,1.0
N1085   ,19.4,57.94,0.0
N1085   ,19.5,58.29,1.0
N1085   ,19.6,58.19,0.0
N1085   ,19.7,58.13,1.0
N1085   ,19.8,58.75,0.0
N1085   ,19.9,59.17,1.0
N1085   ,20.0,59.45,0.0
N1085   ,20.1,59.63,1.0
N1085   ,20.2,59.75,1.0
N1085   ,20.3,60.17,1.0
N1085   ,20.4,60.45,0.0
N1085   ,20.5,60.3,1.0
N1085   ,20.6,60.2,0.0
N1085   ,20.7,60.13,0.0
N1085   ,20.8,60.42,1.0
N1085   ,20.9,60.28,1.0
N1085   ,21.0,60.19,0.0
N1085   ,21.1,60.79,1.0
N1085   ,21.2,60.53,0.0
N1085   ,21.3,61.02,1.0
N1085   ,21.4,61.35,0.0
N1085   ,21.5,61.9,1.0
N1085   ,21.6,61.93,0.0
N1085   ,21.7,62.29,1.0
N1085   ,21.8,62.53,0.0
