barcode,time,temp,Count
N1088   ,0.8,35.43,0.0
N1088   ,0.9,35.29,0.0
N1088   ,1.0,35.19,0.0
N1088   ,1.1,35.46,1.0
N1088   ,1.2,34.97,0.0
N1088   ,1.3,34.98,0.0
N1088   ,1.4,34.99,2.0
N1088   ,1.5,34.66,0.0
N1088   ,1.6,34.77,1.0
N1088   ,1.7,34.85,0.0
N1088   ,1.8,34.9,1.0
N1088   ,1.9,34.6,0.0
N1088   ,2.0,34.4,0.0
N1088   ,2.1,34.93,1.0
N1088   ,2.2,34.96,0.0
N1088   ,2.3,34.97,0.0
N1088   ,2.4,34.98,1.0
N1088   ,2.5,34.99,0.0
N1088   ,2.6,34.99,1.0
N1088   ,2.7,35.33,0.0
N1088   ,2.8,35.55,1.0
N1088   ,2.9,35.37,0.0
N1088   ,3.0,35.25,1.0
N1088   ,3.1,35.16,1.0
N1088   ,3.2,35.44,0.0
N1088   ,3.3,35.29,0.0
N1088   ,3.4,35.53,1.0
N1088   ,3.5,35.69,1.0
N1088   ,3.6,35.79,0.0
N1088   ,3.7,35.53,0.0
N1088   ,3.8,35.35,1.0
N1088   ,3.9,35.9,0.0
N1088   ,4.0,35.93,1.0
N1088   ,4.1,35.96,0.0
N1088   ,4.2,35.64,0.0
N1088   ,4.3,35.76,1.0
N1088   ,4.4,35.51,1.0
N1088   ,4.5,35.67,0.0
N1088   ,4.6,35.78,1.0
N1088   ,4.7,36.19,0.0
N1088   ,4.8,37.12,0.0
N1088   ,4.9,37.75,1.0
N1088   ,5.0,38.83,0.0
N1088   ,5.1,39.89,1.0
N1088   ,5.2,40.59,0.0
N1088   ,5.3,41.06,1.0
N1088   ,5.4,42.37,0.0
N1088   ,5.5,42.25,1.0
N1088   ,5.6,42.5,0.0
N1088   ,5.7,42.33,0.0
N1088   ,5.8,42.22,1.0
N1088   ,5.9,42.15,0.0
N1088   ,6.0,42.1,1.0
N1088   ,6.1,42.4,0.0
N1088   ,6.2,41.93,0.0
N1088   ,6.3,41.96,1.0
N1088   ,6.4,41.97,0.0
N1088   ,6.5,40.65,1.0
N1088   ,6.6,41.43,0.0
N1088   ,6.7,42.29,0.0
N1088   ,6.8,42.52,1.0
N1088   ,6.9,42.35,0.0
N1088   ,7.0,42.57,1.0
N1088   ,7.1,42.38,0.0
N1088   ,7.2,42.59,1.0
N1088   ,7.3,42.72,0.0
N1088   ,7.4,42.82,1.0
N1088   ,7.5,43.54,0.0
N1088   ,7.6,43.36,0.0
N1088   ,7.7,43.58,2.0
N1088   ,7.8,43.72,0.0
N1088   ,7.9,43.81,1.0
N1088   ,8.0,43.87,0.0
N1088   ,8.1,43.92,0.0
N1088   ,8.2,44.28,1.0
N1088   ,8.3,44.52,0.0
N1088   ,8.4,44.68,0.0
N1088   ,8.5,44.79,1.0
N1088   ,8.6,45.19,1.0
N1088   ,8.7,45.46,0.0
N1088   ,8.8,45.31,0.0
N1088   ,8.9,45.54,1.0
N1088   ,9.0,45.69,0.0
N1088   ,9.1,45.46,1.0
N1088   ,9.2,44.31,0.0
N1088   ,9.3,44.87,0.0
N1088   ,9.4,45.25,1.0
N1088   ,9.5,45.5,0.0
N1088   ,9.6,45.67,1.0
N1088   ,9.7,45.78,0.0
N1088   ,9.8,45.85,1.0
N1088   ,9.9,45.9,0.0
N1088   ,10.0,46.27,1.0
N1088   ,10.1,46.51,0.0
N1088   ,10.2,46.34,1.0
N1088   ,10.3,46.23,0.0
N1088   ,10.4,46.48,1.0
N1088   ,10.5,46.66,0.0
N1088   ,10.6,47.1,0.0
N1088   ,10.7,46.74,1.0
N1088   ,10.8,47.82,0.0
N1088   ,10.9,48.22,0.0
N1088   ,11.0,48.14,2.0
N1088   ,11.1,48.1,0.0
N1088   ,11.2,48.06,0.0
N1088   ,11.3,48.04,1.0
N1088   ,11.4,48.03,0.0
N1088   ,11.5,48.02,0.0
N1088   ,11.6,48.35,1.0
N1088   ,11.7,48.23,1.0
N1088   ,11.8,48.15,0.0
N1088   ,11.9,48.44,0.0
N1088   ,12.0,48.62,1.0
N1088   ,12.1,48.42,1.0
N1088   ,12.2,48.28,0.0
N1088   ,12.3,48.52,0.0
N1088   ,12.4,48.68,1.0
N1088   ,12.5,48.79,0.0
N1088   ,12.6,49.19,0.0
N1088   ,12.7,49.13,1.0
N1088   ,12.8,49.75,0.0
N1088   ,12.9,49.83,1.0
N1088   ,13.0,49.89,0.0
N1088   ,13.1,49.59,1.0
N1088   ,13.2,49.73,0.0
N1088   ,13.3,49.49,0.0
N1088   ,13.4,49.66,1.0
N1088   ,13.5,49.77,0.0
N1088   ,13.6,50.18,1.0
